roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,representation,n_features,best_params
0.751084842136765,0.733830425438079,0.6942802633547809,0.7239263803680982,0.6646341463414634,0.7023809523809523,0.20618807339449544,327,0.4984709480122324,0.466,0,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7611878505024652,0.7442398750072498,0.6687116564417178,0.6319018404907976,0.7055214723926381,0.6560509554140127,0.20091971368826178,326,0.5,0.501,1,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7562761112574804,0.749190841340044,0.7085889570552147,0.6871165644171779,0.7300613496932515,0.7021943573667712,0.2056162944785276,326,0.5,0.498,2,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7826037863675712,0.7657245502899037,0.7024539877300613,0.754601226993865,0.6503067484662577,0.717201166180758,0.19823942019746862,326,0.5,0.477,3,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7580171635049684,0.756598039501356,0.6991493526046372,0.7378048780487805,0.6604938271604939,0.711764705882353,0.20396784507859142,326,0.5030674846625767,0.502,4,random_forest,cin,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
