roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,representation,n_features,best_params
0.6930270836450697,0.651753756323528,0.6392525811761185,0.6748466257668712,0.6036585365853658,0.650887573964497,0.2225089577014513,327,0.4984709480122324,0.495,0,logistic,cin,signature,96,{'clf__C': 0.01}
0.7035266664157477,0.6811049895482095,0.6380368098159509,0.6134969325153374,0.6625766871165644,0.6289308176100629,0.21989651350915543,326,0.5,0.509,1,logistic,cin,signature,96,{'clf__C': 0.01}
0.7023598931085099,0.6954122486819677,0.6411042944785276,0.6380368098159509,0.6441717791411042,0.64,0.21895731489770354,326,0.5,0.527,2,logistic,cin,signature,96,{'clf__C': 0.01}
0.740675223004253,0.7098382100919624,0.6932515337423313,0.7975460122699386,0.588957055214724,0.7222222222222222,0.20626857854541655,326,0.5,0.467,3,logistic,cin,signature,96,{'clf__C': 0.01}
0.7132640770852153,0.6739765874454923,0.670995182174044,0.7987804878048781,0.5432098765432098,0.7100271002710027,0.2141591030272373,326,0.5030674846625767,0.458,4,logistic,cin,signature,96,{'clf__C': 0.01}
