fold,feature,importance
0,FMN2 (56776)_damaging,0.0
0,RGS7 (6000)_damaging,0.01691658954246495
0,WDR64 (128025)_damaging,0.0
0,SDCCAG8 (10806)_damaging,0.0
0,KIF26B (55083)_damaging,0.0
0,AHCTF1 (25909)_damaging,0.0
0,NLRP3 (114548)_damaging,0.0
0,LARP4B (23185)_damaging,0.0
0,ITGA8 (8516)_damaging,0.0
0,CUBN (8029)_damaging,0.09057159393235932
0,MRC1 (4360)_damaging,0.0
0,MALRD1 (340895)_damaging,0.0
0,ARMC3 (219681)_damaging,0.0
0,KIAA1217 (56243)_damaging,0.0
0,GPR158 (57512)_damaging,0.0
0,ANKRD26 (22852)_damaging,0.0
0,SVIL (6840)_damaging,0.0
0,JCAD (57608)_damaging,0.0
0,ANKRD30A (91074)_damaging,0.0
0,RSU1P2 (100133308)_damaging,0.0
0,WDFY4 (57705)_damaging,0.0
0,C10orf71 (118461)_damaging,0.0
0,PCDH15 (65217)_damaging,0.024884584268862493
0,ANK3 (288)_damaging,0.0
0,ARID5B (84159)_damaging,0.014185529824216184
0,JMJD1C (221037)_damaging,0.0
0,CTNNA3 (29119)_damaging,0.024390417662477914
0,MYPN (84665)_damaging,0.0
0,CDH23 (64072)_damaging,0.0
0,ZMIZ1 (57178)_damaging,0.0
0,NRG3 (10718)_damaging,0.05671273072736951
0,PTEN (5728)_damaging,0.0
0,STAMBPL1 (57559)_damaging,0.0
0,KIF20B (9585)_damaging,0.0
0,BTAF1 (9044)_damaging,0.0024648843215702267
0,MYOF (26509)_damaging,0.0
0,PDE6C (5146)_damaging,0.0
0,PLCE1 (51196)_damaging,0.0
0,CC2D2B (387707)_damaging,0.01021436789628264
0,ZNF518A (9849)_damaging,0.0
0,LCOR (84458)_damaging,0.034904632683328295
0,SLIT1 (6585)_damaging,0.0
0,PPRC1 (23082)_damaging,0.027505001257717814
0,PSD (5662)_damaging,0.0
0,CNNM2 (54805)_damaging,0.0
0,PDCD11 (22984)_damaging,0.0625082747959227
0,SH3PXD2A (9644)_damaging,0.0
0,SLK (9748)_damaging,0.0
0,SORCS3 (22986)_damaging,0.0
0,SORCS1 (114815)_damaging,0.0
0,SMC3 (9126)_damaging,0.02224090444942227
0,TCF7L2 (6934)_damaging,0.0
0,ATRNL1 (26033)_damaging,0.0
0,TACC2 (10579)_damaging,0.011119106070898391
0,DMBT1 (1755)_damaging,0.0
0,DOCK1 (1793)_damaging,0.0
0,MKI67 (4288)_damaging,0.023486329772163972
0,JAKMIP3 (282973)_damaging,0.0
0,CFAP46 (54777)_damaging,0.0
0,B4GALNT4 (338707)_damaging,0.0
0,PKP3 (11187)_damaging,0.0
0,MUC5AC (4586)_damaging,0.0
0,MUC5B (727897)_damaging,0.011152237108694965
0,BRSK2 (9024)_damaging,0.0
0,KCNQ1 (3784)_damaging,0.0
0,NUP98 (4928)_damaging,0.0
0,OR51E2 (81285)_damaging,0.0
0,DNHD1 (144132)_damaging,0.0
0,DCHS1 (8642)_damaging,0.0
0,IPO7 (10527)_damaging,0.0
0,SBF2 (81846)_damaging,0.0
0,PLEKHA7 (144100)_damaging,0.0
0,ABCC8 (6833)_damaging,0.0
0,USH1C (10083)_damaging,0.0
0,OTOG (340990)_damaging,0.0
0,NAV2 (89797)_damaging,0.0
0,DCDC1 (341019)_damaging,0.0
0,CCDC73 (493860)_damaging,0.0
0,QSER1 (79832)_damaging,0.0
0,CSTF3 (1479)_damaging,0.0
0,KIAA1549L (25758)_damaging,0.0
0,LRP4 (4038)_damaging,0.0
0,AGBL2 (79841)_damaging,0.0
0,FOLH1 (2346)_damaging,0.0
0,OR4A15 (81328)_damaging,0.0
0,OR4P4 (81300)_damaging,0.0
0,CTNND1 (1500)_damaging,0.0
0,DTX4 (23220)_damaging,0.028338329625451762
0,MYRF (745)_damaging,0.0
0,AHNAK (79026)_damaging,0.0
0,EML3 (256364)_damaging,0.0
0,SLC3A2 (6520)_damaging,0.013356474038644983
0,PLCB3 (5331)_damaging,0.0
0,NRXN2 (9379)_damaging,0.02804647137391907
0,MEN1 (4221)_damaging,0.0
0,ATG2A (23130)_damaging,0.0018349852389503405
0,PCNX3 (399909)_damaging,0.0
0,RIN1 (9610)_damaging,0.0
0,SHANK2 (22941)_damaging,0.0
0,INPPL1 (3636)_damaging,0.0
0,ARHGEF17 (9828)_damaging,0.0
0,C2CD3 (26005)_damaging,0.0
0,MYO7A (4647)_damaging,0.0
0,RSF1 (51773)_damaging,0.0
0,TENM4 (26011)_damaging,0.0
0,PCF11 (51585)_damaging,0.0
0,DLG2 (1740)_damaging,0.0020563835715479814
0,SYTL2 (54843)_damaging,0.0007427059100010654
0,FAT3 (120114)_damaging,0.0
0,DEUP1 (159989)_damaging,0.0
0,MRE11 (4361)_damaging,0.0
0,CNTN5 (53942)_damaging,0.0
0,CEP126 (57562)_damaging,0.028912408092568904
0,MMP3 (4314)_damaging,0.0
0,MMP12 (4321)_damaging,0.0
0,DYNC2H1 (79659)_damaging,0.0
0,NPAT (4863)_damaging,0.0
0,ATM (472)_damaging,0.04323561441082045
0,EXPH5 (23086)_damaging,0.0
0,NKAPD1 (55216)_damaging,0.0
0,NCAM1 (4684)_damaging,0.0
0,USP28 (57646)_damaging,0.0
0,DSCAML1 (57453)_damaging,0.0
0,KMT2A (4297)_damaging,0.03881745080788421
0,BCL9L (283149)_damaging,0.02019292339403867
0,ARHGEF12 (23365)_damaging,0.01088000880282729
0,TECTA (7007)_damaging,0.00943764475378487
0,SORL1 (6653)_damaging,0.0
0,ROBO3 (64221)_damaging,0.043283485368871555
0,CCDC15 (80071)_damaging,0.0
0,IGSF9B (22997)_damaging,0.0
0,GLB1L2 (89944)_damaging,0.0
0,LINC02714 (729305)_damaging,0.0
0,KDM5A (5927)_damaging,0.0
0,WNK1 (65125)_damaging,0.0
0,CACNA1C (775)_damaging,0.0
0,VWF (7450)_damaging,0.0
0,PLEKHG6 (55200)_damaging,0.0
0,CHD4 (1108)_damaging,0.0
0,ATN1 (1822)_damaging,0.0
0,A2ML1 (144568)_damaging,0.02099649264134478
0,A2M (2)_damaging,0.005696403712395693
0,ATF7IP (55729)_damaging,0.0
0,EPS8 (2059)_damaging,0.0
0,PDE3A (5139)_damaging,0.001482422424507593
0,SLCO1B3 (28234)_damaging,0.0
0,RECQL (5965)_damaging,0.0
0,ABCC9 (10060)_damaging,0.016160316376906795
0,C2CD5 (9847)_damaging,0.0
0,ITPR2 (3709)_damaging,0.0
0,KIF21A (55605)_damaging,0.0
0,LRRK2 (120892)_damaging,0.0
0,MUC19 (283463)_damaging,0.08513216659363174
0,CNTN1 (1272)_damaging,0.0
0,PDZRN4 (29951)_damaging,0.0
0,ADAMTS20 (80070)_damaging,0.0
0,ANO6 (196527)_damaging,0.0
0,ARID2 (196528)_damaging,0.0
0,HDAC7 (51564)_damaging,0.0
0,COL2A1 (1280)_damaging,0.0
0,WNT1 (7471)_damaging,0.0
0,KMT2D (8085)_damaging,0.0
0,PRPF40B (25766)_damaging,0.0
0,NCKAP5L (57701)_damaging,0.0
0,ACVR1B (91)_damaging,0.0
0,MAP3K12 (7786)_damaging,0.027312229250706303
0,PAN2 (9924)_damaging,0.0
0,STAT2 (6773)_damaging,0.0
0,NACA (4666)_damaging,0.0
0,MYO1A (4640)_damaging,0.0
0,STAT6 (6778)_damaging,0.0
0,LRP1 (4035)_damaging,0.0
0,R3HDM2 (22864)_damaging,0.0
0,GLI1 (2735)_damaging,0.0
0,MBD6 (114785)_damaging,0.0
0,KIF5A (3798)_damaging,0.10303946574372136
0,XPOT (11260)_damaging,0.0
0,PTPRB (5787)_damaging,0.008135815061572793
0,ZFC3H1 (196441)_damaging,0.0
0,E2F7 (144455)_damaging,0.0024534767528360097
0,NAV3 (89795)_damaging,0.0
0,OTOGL (283310)_damaging,0.0
0,PTPRQ (374462)_damaging,0.0
0,PPFIA2 (8499)_damaging,0.0
0,LRRIQ1 (84125)_damaging,0.0
0,CEP290 (80184)_damaging,0.0
