ModelID,UMAP1,UMAP2,wgd,cin,loh
ACH-000155,0.032793947,10.885446,1,1,1
ACH-000156,8.76229,8.387343,0,0,0
ACH-000158,8.391655,10.465039,1,0,1
ACH-000159,4.4567595,10.066077,1,1,1
ACH-000160,7.024194,5.364054,0,0,0
ACH-000162,4.456935,7.6287766,0,0,0
ACH-000163,3.331023,11.184895,1,1,0
ACH-000164,0.08295817,10.736106,1,1,1
ACH-000165,-14.57832,4.8390627,0,0,0
ACH-000166,3.832597,4.1368403,0,0,0
ACH-000167,7.366997,6.2415543,0,0,0
ACH-000169,5.6542087,8.076282,1,1,1
ACH-000172,-14.549493,4.8868203,0,0,0
ACH-000174,-0.18143797,10.662884,1,1,1
ACH-000175,6.644698,4.5740576,0,0,0
ACH-000176,5.027702,4.3712916,1,0,1
ACH-000177,-14.504484,5.014287,1,1,1
ACH-000178,0.29384688,8.2276125,1,1,1
ACH-000179,3.4525652,7.047606,1,0,0
ACH-000180,8.500429,-1.0318909,0,0,0
ACH-000181,8.244605,2.7242599,1,0,0
ACH-000182,0.33733517,7.986516,0,0,1
ACH-000183,5.9070563,7.4230113,1,1,0
ACH-000184,-14.5234,4.944367,0,0,0
ACH-000186,0.92344886,6.1640606,1,0,1
ACH-000187,5.749763,5.8962793,1,1,1
ACH-000188,5.4574337,6.431232,1,1,1
ACH-000190,6.1322136,8.277525,1,1,1
ACH-000192,5.9391985,4.2294235,1,1,1
ACH-000193,0.066850334,10.769589,1,1,1
ACH-000196,4.8820705,5.947934,1,1,1
ACH-000197,5.814977,7.9386973,1,0,0
ACH-000199,-14.542199,4.7551236,0,0,0
ACH-000200,5.5947237,10.715734,1,1,1
ACH-000202,4.0490875,5.9116874,1,1,1
ACH-000203,4.5867004,11.576966,0,0,0
ACH-000204,8.554129,-0.7720528,1,1,0
ACH-000205,8.361023,8.947571,1,1,1
ACH-000206,7.254099,8.646974,0,0,0
ACH-000207,3.2225447,6.483634,1,1,1
ACH-000208,2.2152207,7.567488,0,0,0
ACH-000209,8.706001,8.610491,1,1,1
ACH-000210,9.836453,7.75149,0,0,0
ACH-000211,3.3394918,11.594769,1,1,1
ACH-000212,8.014529,3.0397508,1,1,1
ACH-000213,-0.38390234,10.531782,1,0,0
ACH-000214,-14.454704,4.6854653,0,0,0
ACH-000215,3.0928063,9.348796,1,1,0
ACH-000216,3.1091995,5.458894,1,1,1
ACH-000217,3.8050668,10.213457,1,1,1
ACH-000218,0.22433582,11.007585,1,1,0
ACH-000219,4.7128587,10.397974,1,0,1
ACH-000220,0.5577567,6.5908237,1,0,1
ACH-000221,3.4594715,11.441924,1,1,1
ACH-000224,-14.497359,5.1223702,0,0,0
ACH-000225,4.8370743,5.996389,1,1,1
ACH-000227,5.4104652,7.8812013,0,0,0
ACH-000228,2.942945,5.5922737,1,1,1
ACH-000231,2.888059,9.473519,1,1,1
ACH-000232,3.1153185,9.892224,1,1,1
ACH-000233,3.8517637,4.1188946,1,0,0
ACH-000235,0.04764159,9.908966,1,0,1
ACH-000236,4.947166,9.046173,1,1,1
ACH-000238,4.1380205,5.6209483,1,1,1
ACH-000239,2.818507,5.9701056,1,1,1
ACH-000240,8.771427,8.375935,0,0,0
ACH-000241,-14.415054,5.018007,0,0,0
ACH-000242,4.573113,11.445964,1,0,0
ACH-000244,4.126609,10.038855,0,0,0
ACH-000245,4.4824305,7.316105,0,0,0
ACH-000246,6.284853,8.929872,1,1,0
ACH-000247,6.972282,7.024933,0,0,0
ACH-000248,5.3468876,7.6505265,1,1,1
ACH-000249,-0.27932265,9.677733,0,0,1
ACH-000250,3.3407764,11.5756035,1,1,1
ACH-000251,1.4648093,6.4756956,1,1,1
ACH-000252,0.37986922,9.53697,1,0,1
ACH-000253,4.799665,9.259846,1,0,0
ACH-000254,6.2931657,5.554918,1,1,1
ACH-000255,3.2946346,5.9513617,1,1,1
ACH-000256,8.470124,-1.0520531,1,1,0
ACH-000257,6.1246305,6.9714828,1,1,1
