file,n_rows_raw,n_rows_default,n_cols_feature,dtype,min,max,mean,var,binarized_positive_rate
hotspot,3044,1968,554,int (변이 개수),0.0,2.0,0.004678648997681312,0.007158887150603544,0.0034275850429984446
damaging,3044,1968,19578,int (변이 개수),0.0,2.0,0.003378372065210079,0.003920560395570818,0.0031015712011242084
