feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
CDH7 (1005)_damaging,1,0.019390258404335815,219.8,115.22456335347945,0.2,damaging,CDH7
SPTAN1 (6709)_damaging,1,0.01624774044352052,220.8,113.77477752120635,0.2,damaging,SPTAN1
FASTKD5 (60493)_damaging,1,0.015869032021072378,222.0,111.05629203246433,0.2,damaging,FASTKD5
KIF7 (374654)_damaging,1,0.01377840067397904,222.6,105.24162674531404,0.2,damaging,KIF7
KEAP1 (9817)_damaging,1,0.01593435559828854,225.2,111.14270106489224,0.2,damaging,KEAP1
UNC80 (285175)_damaging,1,0.01626043592098464,228.8,116.37740330493718,0.2,damaging,UNC80
IPO7 (10527)_damaging,1,0.01550563359552125,230.0,122.01912418414855,0.2,damaging,IPO7
FBXW7 (55294)_hotspot,1,0.0153133493762494,230.4,114.4783822387441,0.2,hotspot,FBXW7
NSD2 (7468)_damaging,1,0.0139638172195149,235.2,109.65491325061545,0.2,damaging,NSD2
ALPK2 (115701)_damaging,1,0.01512073947863006,237.6,119.42487178138397,0.2,damaging,ALPK2
MGA (23269)_damaging,1,0.012744964013226839,241.8,111.15169814267347,0.2,damaging,MGA
DYSF (8291)_damaging,1,0.011414591581494481,242.4,108.13093914324429,0.2,damaging,DYSF
LRP4 (4038)_damaging,1,0.01229092783571556,243.0,109.57417578973616,0.2,damaging,LRP4
PRMT8 (56341)_damaging,0,0.0544365951914796,64.0,,0.0,damaging,PRMT8
MPL (4352)_damaging,0,0.0445538329493109,66.0,,0.0,damaging,MPL
AFF3 (3899)_damaging,0,0.0475146717096304,68.0,,0.0,damaging,AFF3
RESF1 (55196)_damaging,0,0.0436415725887078,69.0,,0.0,damaging,RESF1
MAP3K4 (4216)_damaging,0,0.0457823584215742,79.25,24.25386567126981,0.0,damaging,MAP3K4
CAMTA2 (23125)_damaging,0,0.0458692847301459,80.0,,0.0,damaging,CAMTA2
CC2D2A (57545)_damaging,0,0.046446205862454,80.0,,0.0,damaging,CC2D2A
KIF5A (3798)_damaging,0,0.0469466705497518,85.0,,0.0,damaging,KIF5A
APC2 (10297)_damaging,0,0.0404392762367288,90.0,,0.0,damaging,APC2
SHOC1 (158401)_damaging,0,0.0434512085007124,92.0,49.49747468305833,0.0,damaging,SHOC1
PLXDC2 (84898)_damaging,0,0.04235785221740263,94.33333333333333,41.52509281546922,0.0,damaging,PLXDC2
GABRA6 (2559)_damaging,0,0.0361309794721326,100.0,39.59797974644666,0.0,damaging,GABRA6
AP3B2 (8120)_damaging,0,0.0384564007229665,101.0,60.81118318204309,0.0,damaging,AP3B2
PCDHB4 (56131)_damaging,0,0.03738523639089394,103.0,8.717797887081348,0.0,damaging,PCDHB4
ADAMTS12 (81792)_damaging,0,0.039294570171667834,105.0,40.20572098594925,0.0,damaging,ADAMTS12
CIITA (4261)_damaging,0,0.0382884898013837,106.0,,0.0,damaging,CIITA
ZNF536 (9745)_damaging,0,0.0365860669195242,106.0,38.0,0.0,damaging,ZNF536
NYNRIN (57523)_damaging,0,0.03697193437307576,106.8,31.720655730927128,0.0,damaging,NYNRIN
LOXL4 (84171)_damaging,0,0.03551991852041945,108.5,20.506096654409877,0.0,damaging,LOXL4
CHFR (55743)_damaging,0,0.0343302133221713,109.0,,0.0,damaging,CHFR
IQUB (154865)_damaging,0,0.0366285134594244,109.0,12.727922061357855,0.0,damaging,IQUB
TGM6 (343641)_damaging,0,0.03686743647961887,110.33333333333333,50.40171954738582,0.0,damaging,TGM6
