column,min,max,mean,std
Age,0.0,94.0,47.1656976744186,22.204268467982665
TissueOrigin,,,,
WTSIMasterCellID,1.0,2266.0,1086.3165983606557,658.7631885867887
COSMICID,683665.0,2054094.0,996989.6090071648,227515.92979923968
