feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
RHOA (387)_hotspot,2,0.0019910230210102783,295.8,335.41422152317875,0.4,hotspot,RHOA
CCND3 (896)_hotspot,1,0.00302932549524885,50.0,5.656854249492381,0.2,hotspot,CCND3
KIF5A (3798)_damaging,1,0.00308408896160835,51.5,17.67766952966369,0.2,damaging,KIF5A
KMT2B (9757)_damaging,1,0.0023723072152171598,72.4,30.54995908344232,0.2,damaging,KMT2B
LRP1B (53353)_damaging,1,0.00308261044029564,73.2,59.780431580911156,0.2,damaging,LRP1B
USH2A (7399)_damaging,1,0.002272113404442,75.2,26.82722497762301,0.2,damaging,USH2A
GNA13 (10672)_damaging,1,0.00250426078784896,78.2,38.16673944680106,0.2,damaging,GNA13
TYRO3 (7301)_damaging,1,0.0028884187055101397,80.4,72.358828072323,0.2,damaging,TYRO3
PTPRS (5802)_damaging,1,0.00265050221224948,80.6,51.10088061863514,0.2,damaging,PTPRS
KALRN (8997)_damaging,1,0.00220844257536428,84.6,48.35080144113436,0.2,damaging,KALRN
ERICH3 (127254)_damaging,1,0.0026419054156314,88.6,56.77411381959212,0.2,damaging,ERICH3
ZAN (7455)_damaging,1,0.002417901384229175,89.75,58.24874819828033,0.2,damaging,ZAN
CDC42BPA (8476)_damaging,1,0.00235487940415634,95.0,64.7688196588451,0.2,damaging,CDC42BPA
CCND3 (896)_damaging,1,0.0021007186616351396,95.2,47.48368140740564,0.2,damaging,CCND3
STAG2 (10735)_damaging,1,0.00214381978007206,102.8,78.85239374933396,0.2,damaging,STAG2
SYNE1 (23345)_damaging,1,0.00203708641708348,106.0,61.477638210978796,0.2,damaging,SYNE1
SMAD4 (4089)_hotspot,1,0.0020453233289829597,109.0,67.72370338367506,0.2,hotspot,SMAD4
DMXL1 (1657)_damaging,1,0.0022701246129613597,109.2,99.98849933867395,0.2,damaging,DMXL1
BRSK1 (84446)_damaging,1,0.00202937594129274,117.4,74.03917881770435,0.2,damaging,BRSK1
PLXNB2 (23654)_damaging,1,0.00252044333683476,122.2,111.43473426180907,0.2,damaging,PLXNB2
CSMD3 (114788)_damaging,1,0.0021492231603590798,124.8,133.24676356294736,0.2,damaging,CSMD3
DDX3X (1654)_damaging,1,0.00216471358010688,127.2,97.46640446841158,0.2,damaging,DDX3X
GABBR1 (2550)_damaging,1,0.0022493536328701,132.66666666666666,98.60189315288694,0.2,damaging,GABBR1
