target,group,random,차이
cin,0.6778641902751064,0.733763386128661,-0.05589919585355463
loh,0.6834522978999706,0.7299659013104782,-0.04651360341050759
wgd,0.7004596003105524,0.765160990520344,-0.0647013902097916
