ModelID,U_bin_1,V_bin_1,U_bin_2,V_bin_2,U_bin_3,V_bin_3,U_cont_1,V_cont_1,lineage
ACH-000001,-0.6501562210103518,-0.20916328827952424,-0.10125607604295057,0.3415434812952128,-0.007931761483091286,-1.4581443235301932,-0.6694106611481715,-0.5336440228108941,Ovary/Fallopian Tube
ACH-000002,0.6278342003633325,1.8562201371561868,-0.1266307675057877,-0.18554407943247947,0.13220405732661547,0.012254923942444096,0.6205514001231318,1.431567955398297,Myeloid
ACH-000004,-0.6348420804775797,-0.9589826389842715,-0.17684223018159997,0.8446716832603622,0.02682459335650035,1.5018061693810947,-0.6594305449911262,-0.3177040851789828,Myeloid
ACH-000005,-0.6310917928856553,-0.9589826389842715,-0.17004382341105692,0.8446716832603622,0.030828239612804786,1.5018061693810947,-0.6556796968948041,-0.2971005208999303,Myeloid
ACH-000006,-0.6426641751704202,1.8562201371561868,-0.14981860704119107,-0.18554407943247947,0.0694782081212506,0.012254923942444096,-0.6636816369265603,1.1287896250432825,Myeloid
ACH-000008,0.585921755899597,-1.3429165982502402,-0.04407479189434701,-0.3327075136823358,0.12069308286799407,-0.031296971208432,0.5867543795905231,-0.7741256895652178,Skin
ACH-000009,-0.7946424751473092,-1.3429165982502402,-0.19392849185347505,-0.3327075136823358,0.001980487351145128,-0.031296971208432,-0.818237554153001,-1.3453760450836127,Bowel
ACH-000011,0.8491340429948347,-1.3429165982502402,0.003525167394159542,-0.3327075136823358,0.18821638818423195,-0.031296971208432,0.8554976639297972,-0.7662285580824477,Bladder/Urinary Tract
ACH-000012,0.05710411261491218,-1.3429165982502402,-0.13159555867489428,-0.3327075136823358,0.06820055891678262,-0.031296971208432,0.04257485348128475,-1.4155131898418283,Lung
ACH-000013,-0.6748349171964745,0.1747706709864446,-0.04240139750006473,1.5189226782379108,-0.01793250789078654,0.0749588170593335,-0.6892956020124223,0.13011251900404264,Ovary/Fallopian Tube
ACH-000014,0.5978708428366298,-1.3429165982502402,-0.07205825113583239,-0.3327075136823358,0.11550782880379987,-0.031296971208432,0.5964744991149512,-0.5866865838163089,Skin
ACH-000015,-0.698556105802924,-0.9589826389842715,-0.20247844995012482,0.8446716832603622,0.08097760292848122,1.5018061693810947,-0.7189959797764387,-0.41340098040734385,Lung
ACH-000018,-0.1524680751099172,-1.3429165982502402,-0.1301858133436874,-0.3327075136823358,0.01615267141082698,-0.031296971208432,-0.1655012833397015,-0.6900424857550543,Bladder/Urinary Tract
ACH-000019,0.8610923289748501,-0.20916328827952424,-0.05970249734732566,0.3415434812952128,0.12924288124835007,-1.4581443235301932,0.8655133073996907,-0.9056963798286954,Breast
ACH-000020,0.8116124492973525,-0.9589826389842715,-0.10544936081587172,0.8446716832603622,0.08929742317654123,1.5018061693810947,0.8085979885388362,1.1161712755915099,Lymphoid
ACH-000021,-0.7079851083397534,-1.3429165982502402,0.036939130370335936,-0.3327075136823358,0.08805663236275599,-0.031296971208432,-0.7140363419207468,-1.0886856069532833,Lung
ACH-000022,-0.7513280620624626,-1.3429165982502402,-0.15256669113675694,-0.3327075136823358,0.15853629031009256,-0.031296971208432,-0.7707598413183661,-0.5196023888934264,Pancreas
ACH-000023,-0.7671436878092496,-0.9589826389842715,-0.2270132033746118,0.8446716832603622,0.08069193290655992,1.5018061693810947,-0.7926899616408356,-0.25557008230201206,Pancreas
ACH-000024,-0.9836067443744917,-0.20916328827952424,-0.05476250392081215,0.3415434812952128,0.09996374905621601,-1.4581443235301932,-0.9972328128349949,-0.12116536842001371,Lymphoid
ACH-000026,0.8529288465571193,-1.3429165982502402,-0.03645381951670954,-0.3327075136823358,0.20610524825351323,-0.031296971208432,0.862884722629816,-0.6410614903131701,Bladder/Urinary Tract
ACH-000027,0.8184351173335448,1.8562201371561868,-0.12241234680716069,-0.18554407943247947,0.10266257853872361,0.012254923942444096,0.8112671046058598,0.7972345313079652,CNS/Brain
