r2,spearman_rho,rmse,mae,n_test,fold,model,target,best_params,n_train,n_features_kept
0.13362545075072285,0.41292256746564465,0.16383096947444614,0.13022406497155312,327,0,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1304,1316
0.1804800917583268,0.4476419093274925,0.14056518282552868,0.1135035128515728,326,1,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1408
0.17378356240447312,0.4430105821099914,0.13627737294666464,0.11050883288691797,326,2,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1468
0.14556284861516067,0.4285666510566378,0.1490922694902208,0.12170166117589432,326,3,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1164
0.14106392286341152,0.4223193570120621,0.15399583587802923,0.11809755462155735,326,4,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1466
