feature,mutated_and_positive,mutated_and_negative,unmutated_and_positive,unmutated_and_negative,test,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,fdr_q_value
NBEAL1 (65065)_damaging,9,12,807,803,Chi-square,0.7462825278810409,0.3234649838944256,1.7680177099350622,0.508139543927393,0.6939848983520914
PCNX1 (22990)_damaging,9,12,807,803,Chi-square,0.7462825278810409,0.3234649838944256,1.7680177099350622,0.508139543927393,0.6939848983520914
CCDST (112268240)_damaging,32,27,784,788,Chi-square,1.1912320483749055,0.7080609700957539,1.9927287105734364,0.5103770566867154,0.6939848983520914
TRANK1 (9881)_damaging,12,9,804,806,Chi-square,1.3366500829187395,0.5642025877072914,3.083858114239698,0.5117716835497594,0.6939848983520914
ASXL3 (80816)_damaging,12,9,804,806,Chi-square,1.3366500829187395,0.5642025877072914,3.083858114239698,0.5117716835497594,0.6939848983520914
SCN2A (6326)_damaging,12,9,804,806,Chi-square,1.3366500829187395,0.5642025877072914,3.083858114239698,0.5117716835497594,0.6939848983520914
TNR (7143)_damaging,12,9,804,806,Chi-square,1.3366500829187395,0.5642025877072914,3.083858114239698,0.5117716835497594,0.6939848983520914
FLT4 (2324)_damaging,12,9,804,806,Chi-square,1.3366500829187395,0.5642025877072914,3.083858114239698,0.5117716835497594,0.6939848983520914
HERC2 (8924)_damaging,10,13,806,802,Chi-square,0.765413246802825,0.34346228053213496,1.7438669647332201,0.5267580802257998,0.7127406480248212
CDH23 (64072)_damaging,13,10,803,805,Chi-square,1.3032378580323787,0.5720144425179994,2.904298643089544,0.5306331328345253,0.7164127854680571
DSCAM (1826)_damaging,11,14,805,801,Chi-square,0.781810115350488,0.36172266275426995,1.7217096789399753,0.543358973706729,0.7303975746776727
NOTCH3 (4854)_damaging,11,14,805,801,Chi-square,0.781810115350488,0.36172266275426995,1.7217096789399753,0.543358973706729,0.7303975746776727
MMP3 (4314)_damaging,14,11,802,804,Chi-square,1.2759011562004081,0.5793741051463934,2.757676116130622,0.5474652675826264,0.7311386798668409
TRMT9B (57604)_damaging,14,11,802,804,Chi-square,1.2759011562004081,0.5793741051463934,2.757676116130622,0.5474652675826264,0.7311386798668409
CACNA1C (775)_damaging,14,11,802,804,Chi-square,1.2759011562004081,0.5793741051463934,2.757676116130622,0.5474652675826264,0.7311386798668409
PBRM1 (55193)_damaging,22,26,794,789,Chi-square,0.8408254214299554,0.47693011016854253,1.4925710446628904,0.5549560134024696,0.7363609898265027
NOTCH1 (4851)_damaging,22,26,794,789,Chi-square,0.8408254214299554,0.47693011016854253,1.4925710446628904,0.5549560134024696,0.7363609898265027
MGA (23269)_damaging,22,26,794,789,Chi-square,0.8408254214299554,0.47693011016854253,1.4925710446628904,0.5549560134024696,0.7363609898265027
WDR87 (83889)_damaging,12,15,804,800,Chi-square,0.7960199004975125,0.37847982071423847,1.7013140007827965,0.5582775004897433,0.7375957554650355
VPS13C (54832)_damaging,12,15,804,800,Chi-square,0.7960199004975125,0.37847982071423847,1.7013140007827965,0.5582775004897433,0.7375957554650355
CSMD2 (114784)_damaging,15,12,801,803,Chi-square,1.2531210986267165,0.5863179350063886,2.635572091145919,0.562604845440466,0.7417247641811272
GRIN2A (2903)_damaging,13,16,803,799,Chi-square,0.8084526774595268,0.39392662858768934,1.6824783457185024,0.5717763585935409,0.7522089834802019
HLA-A (3105)_damaging,26,30,790,785,Chi-square,0.8611814345991561,0.5082862099638762,1.4664672622645323,0.5832722697535185,0.7586691102081934
VHL (7428)_damaging,14,17,802,798,Chi-square,0.8194220331524131,0.40822357140351506,1.6650281793569275,0.584064549998204,0.7586691102081934
SPEF2 (79925)_damaging,14,17,802,798,Chi-square,0.8194220331524131,0.40822357140351506,1.6650281793569275,0.584064549998204,0.7586691102081934
AKAP9 (10142)_damaging,14,17,802,798,Chi-square,0.8194220331524131,0.40822357140351506,1.6650281793569275,0.584064549998204,0.7586691102081934
BIRC6 (57448)_damaging,14,17,802,798,Chi-square,0.8194220331524131,0.40822357140351506,1.6650281793569275,0.584064549998204,0.7586691102081934
COL11A1 (1301)_damaging,14,17,802,798,Chi-square,0.8194220331524131,0.40822357140351506,1.6650281793569275,0.584064549998204,0.7586691102081934
NF1 (4763)_damaging,49,44,767,771,Chi-square,1.119444115206827,0.736860578448987,1.6967589385027946,0.5976154917594112,0.7746402487721779
SPTBN5 (51332)_damaging,18,15,798,800,Chi-square,1.2030075187969924,0.6049818003981543,2.366522195289119,0.6002510756046144,0.7764253954885684
CDKN2A (1029)_hotspot,50,55,766,760,Chi-square,0.9019700925706148,0.6087082432264054,1.3389418784195637,0.60938373820952,0.7865894696135436
ARID2 (196528)_damaging,17,20,799,795,Chi-square,0.8457446808510638,0.44546081761408085,1.6195795977435263,0.6152027894230332,0.7912331571935052
RYR2 (6262)_damaging,35,31,781,784,Chi-square,1.1333691297344182,0.6931539183286916,1.846434248590018,0.6187969944075731,0.7912331571935052
DNAH7 (56171)_damaging,19,22,797,793,Chi-square,0.859301927683358,0.46651780390454745,1.5939270562986028,0.6322945204001766,0.7912331571935052
ABCA7 (10347)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
BPTF (2186)_damaging,8,10,808,805,Chi-square,0.7970297029702971,0.324779406687222,2.0028194956563627,0.6336161320837939,0.7912331571935052
