column,dtype,n,n_missing,min,max,mean,var
WGD,float64,1631,337,0.0,1.0,0.6523605150214592,0.22692540614549722
CIN,float64,1631,337,0.0,0.859346843049283,0.46010491403990034,0.06097289555078001
LoHFraction,float64,1631,337,0.0,0.929901341852373,0.21022738754128303,0.026294706426630496
Ploidy,float64,1631,337,1.67283594295168,4.99477653120802,2.9993438488706685,0.6839334452292024
Aneuploidy,float64,1631,337,0.0,39.0,16.538320049049663,103.35052453799679
MSIScore,float64,1968,0,0.3,93.22,6.0372510162601625,254.66083549974442
