r2,spearman_rho,rmse,mae,n_test,fold,model,target,best_params,n_train,n_features_kept
0.20632804499647295,0.44696021257735996,0.22112640208842582,0.1847310981644073,327,0,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1304,1316
0.2041514332559674,0.43225386110255337,0.21885296979975316,0.18444609715256619,326,1,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1408
0.2528518136827086,0.4950920703531665,0.20627850017934582,0.17342662614526952,326,2,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1468
0.27765646794898513,0.48622805652745565,0.211259711513138,0.17289745203310417,326,3,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1164
0.19266043532886357,0.40495296533610836,0.2269793222659267,0.19358587445457914,326,4,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1466
0.13362545075072285,0.41292256746564465,0.16383096947444614,0.13022406497155312,327,0,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1304,1316
0.1804800917583268,0.4476419093274925,0.14056518282552868,0.1135035128515728,326,1,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1408
0.17378356240447312,0.4430105821099914,0.13627737294666464,0.11050883288691797,326,2,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1468
0.14556284861516067,0.4285666510566378,0.1490922694902208,0.12170166117589432,326,3,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1164
0.14106392286341152,0.4223193570120621,0.15399583587802923,0.11809755462155735,326,4,elastic_net_reg,loh,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1466
0.30583651637186704,0.517405566970192,0.2068002047369022,0.1724402170564457,327,0,random_forest_reg,cin,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1304,1316
0.27319320965945026,0.46042577895301356,0.20914462759830016,0.17314911361020516,326,1,random_forest_reg,cin,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1408
0.2828140684101845,0.5178382765123664,0.20210007406696534,0.16719304351745298,326,2,random_forest_reg,cin,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1468
0.2743825329014853,0.5051936384023513,0.21173792486196458,0.17150690897673337,326,3,random_forest_reg,cin,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1164
0.19906624497999437,0.4370523671725859,0.22607704889300387,0.19168018662509353,326,4,random_forest_reg,cin,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1466
0.17329209295452708,0.47396317182414277,0.16003655866600233,0.12481395488632285,327,0,random_forest_reg,loh,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1304,1316
0.2089433367662521,0.46515338285225866,0.1381025838781259,0.11061165303810053,326,1,random_forest_reg,loh,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1305,1408
0.17284050849262922,0.44613692329654736,0.1363551251263684,0.10918835398925364,326,2,random_forest_reg,loh,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1468
0.17138757758033574,0.46597713079804504,0.14682188105175875,0.11909713246933797,326,3,random_forest_reg,loh,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1305,1164
0.12340454694774672,0.40181507695986424,0.1555708276004968,0.11864852992165151,326,4,random_forest_reg,loh,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}",1305,1466
