target,panel_size,jaccard
wgd,5,0.5630952380952381
wgd,10,0.4095238095238095
wgd,20,0.37106838285926164
wgd,50,0.2774231937797592
cin,5,0.4404761904761904
cin,10,0.33220749838396896
cin,20,0.2514907135874878
cin,50,0.22921128246846062
loh,5,0.47619047619047616
loh,10,0.29502801120448174
loh,20,0.20051141668788727
loh,50,0.23844898443918355
