roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept
0.800345935260687,0.8810425800824635,0.7413516184828268,0.7370892018779343,0.7456140350877193,0.7869674185463659,0.19698546509488055,327,0.6513761467889908,0.497,0,random_forest,wgd,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1304,1415
0.7845361253064107,0.8502782060902662,0.7397689974656196,0.7981220657276995,0.6814159292035398,0.8114558472553699,0.19488916657958116,326,0.6533742331288344,0.512,1,random_forest,wgd,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1356
0.7187253313390667,0.7937772442708348,0.64803273920811,0.6854460093896714,0.6106194690265486,0.7245657568238213,0.22538888415162725,326,0.6533742331288344,0.507,2,random_forest,wgd,random,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1305,1402
0.8027338069716232,0.8736998664757372,0.7610827205118618,0.7699530516431925,0.7522123893805309,0.8098765432098766,0.1945050738501957,326,0.6533742331288344,0.513,3,random_forest,wgd,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1277
0.7194637537239325,0.8075692186972117,0.6826795762992386,0.7688679245283019,0.5964912280701754,0.7743467933491687,0.21046240502181582,326,0.6503067484662577,0.507,4,random_forest,wgd,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1380
