target,tn,fp,fn,tp,n,sensitivity,specificity,balanced_accuracy
wgd,395,172,304,760,1631,0.7142857142857143,0.6966490299823633,0.7054673721340388
cin,490,325,220,596,1631,0.7303921568627451,0.6012269938650306,0.6658095753638879
loh,465,350,194,622,1631,0.7622549019607843,0.5705521472392638,0.666403524600024
