gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_ridge,gain_over_lineage,gain_over_self
SOX10 (6663),0.4559214413166046,True,-0.024944917281193305,0.6855276184946315,0.8455623531618109,0.8275026793073336,0.14197506081270206,-0.018059673854477376
PAX8 (7849),0.3462451994419098,True,-0.01710113368755239,0.6295943983564849,0.6415387113459534,0.8169010256251984,0.1873066272687135,0.17536231427924498
EBF1 (1879),0.30038800835609436,True,-0.03301877779018374,0.5917055181891053,0.5175783786962913,0.8018322501371994,0.21012673194809406,0.2842538714409081
MYB (4602),0.3945743143558502,True,-0.057533022068435455,0.6898014475834976,0.6606345374880533,0.7694617243231231,0.0796602767396255,0.10882718683506976
TP63 (8626),0.31773585081100464,True,-0.04897427445077747,0.4959600779852788,0.6707296434892194,0.7596146223722161,0.2636545443869373,0.08888497888299673
IRF4 (3662),0.42637285590171814,True,-0.056405563410933036,0.643898136728336,0.7634647019680413,0.7529628822270643,0.10906474549872835,-0.01050181974097697
FERMT2 (10979),0.592764139175415,True,-0.032819205937844514,0.5714793129473371,0.5324086495345179,0.741176564830703,0.16969725188336593,0.2087679152961851
POU2AF1 (5450),0.2938508987426758,True,-0.011859741743681719,0.572289069653502,0.6594650552096979,0.7367759673605808,0.1644868977070788,0.07731091215088293
HNF1B (6928),0.4573095440864563,True,-0.042714326146173376,0.4175244212998573,0.7536844175100038,0.7273506557752064,0.3098262344753491,-0.0263337617347974
CTNNB1 (1499),0.40540459752082825,True,-0.03377085786205021,0.5764511518252846,0.19852283928423883,0.7229038734927506,0.14645272166746603,0.5243810342085118
TCF7L2 (6934),0.28372398018836975,True,-0.032346567196182174,0.5495279959702831,0.2905436823503394,0.7125379546897747,0.16300995871949153,0.42199427233943526
ITGAV (3685),0.4580070972442627,True,-0.056712965767960824,0.4683426376404703,0.44100020514211413,0.7076682814808998,0.23932564384042948,0.26666807633878564
CDS2 (8760),0.31581151485443115,True,-0.06134736314486337,0.4834085292120367,-0.09540500644128917,0.6944546664683813,0.21104613725634458,0.7898596729096704
CCND3 (896),0.37026411294937134,True,-0.04203376426277044,0.49518926621575005,0.5286833791618142,0.6870350901871403,0.19184582397139022,0.15835171102532608
EFR3A (23167),0.44043904542922974,True,-0.044451952715707475,0.39644192937414824,-0.04165668652677121,0.6828669273646963,0.2864249979905481,0.7245236138914676
TP53 (7157),0.578559398651123,True,-0.09134951717894262,0.3897544786716014,0.0857044323495992,0.6823178414485273,0.29256336277692585,0.596613409098928
KLF5 (688),0.44923242926597595,True,-0.036628182637583453,0.4930417029714496,0.59343510938528,0.6809763618726614,0.1879346589012118,0.08754125248738143
STX4 (6810),0.40610766410827637,True,-0.033003455996059874,0.4132893335941823,0.09169227955978305,0.6780947574007453,0.264805423806563,0.5864024778409622
ZEB2 (9839),0.3279755115509033,True,-0.05438501866136487,0.5236425489145115,0.5756889647263999,0.672735615669209,0.14909306675469758,0.09704665094280918
BRAF (673),0.36489808559417725,True,-0.03273410114008801,0.6010988517890138,0.06369713747924399,0.6642994140759554,0.0632005622869416,0.6006022765967114
SDHB (6390),0.48127326369285583,True,-0.029289300957082088,0.523332943690248,0.05579667081871623,0.6543170196960676,0.13098407600581963,0.5985203488773514
ATP1B3 (483),0.38666683435440063,True,-0.029934524806086008,0.612254431169745,0.06821881893529626,0.6493013182433279,0.037046887073582946,0.5810824993080317
FOXA1 (3169),0.3153568208217621,True,-0.07119103078676756,0.38201076559710667,0.4047518147408195,0.6454121033804704,0.2634013377833637,0.2406602886396509
CBFB (865),0.5042467713356018,True,-0.06976787822980227,0.5973575964219131,0.2180785585494651,0.6415173328349145,0.044159736413001416,0.4234387742854494
SH3GL1 (6455),0.26036742329597473,True,-0.06133151501035964,0.5301016800686535,0.23943990531784418,0.6368443043943443,0.1067426243256907,0.39740439907650005
MYBL2 (4605),0.35670721530914307,True,-0.07019751353988073,0.3873632315816155,0.06669080597201574,0.6362722664140843,0.2489090348324688,0.5695814604420686
PTK2 (5747),0.4344702959060669,True,-0.036930555135310565,0.4476785050579299,0.20382494368847834,0.6258697319171765,0.17819122685924665,0.4220447882286982
ELMO2 (63916),0.3603314161300659,True,-0.03761089977954843,0.3398983204388682,0.20630176352961033,0.6233951493109888,0.28349682887212063,0.4170933857813785
DUSP4 (1846),0.3164140582084656,True,-0.05119790254641259,0.5217820545411065,0.4096308132221112,0.6230799730835681,0.10129791854246162,0.2134491598614569
GRHL2 (79977),0.25791049003601074,True,-0.049139461361447756,0.44487140785326307,0.5939517283121374,0.62214647268076,0.1772750648274969,0.02819474436862257
TFAP2A (7020),0.2920645475387573,True,-0.06636949526847795,0.4077859801928712,0.35098582856564825,0.6219740964754268,0.21418811628255557,0.27098826790977854
CDKN1A (1026),0.2903404235839844,True,-0.08463281602590235,0.34088604025760927,0.48871215031717513,0.6195184207893696,0.2786323805317603,0.13080627047219445
NAMPT (10135),0.44613027572631836,True,-0.04239137923177091,0.5540197959600647,0.11950606113601801,0.6149152364554705,0.06089544049540585,0.4954091753194525
MBNL1 (4154),0.3373803496360779,True,-0.0428225467730498,0.5491106192477304,0.3354335758796192,0.6139703922661084,0.06485977301837798,0.2785368163864892
JUN (3725),0.31787919998168945,True,-0.025574501051686543,0.3754973394154059,0.3204155285613645,0.6112515161297366,0.2357541767143307,0.2908359875683721
MDM4 (4194),0.3261064887046814,True,-0.07443866370290148,0.25040151246592673,0.11216352182900528,0.6100973339986312,0.35969582153270446,0.4979338121696259
CDK6 (1021),0.5585237145423889,True,-0.06071964487903067,0.45156913223235434,0.4517020701428918,0.6052527721755554,0.15368363994320106,0.15355070203266358
TTC7A (57217),0.3223519027233124,True,-0.05729528029649559,0.3996575461107511,0.14436867573739134,0.6018777975657892,0.20222025145503808,0.45750912182839787
RUNX1 (861),0.29421523213386536,True,-0.02128773615931876,0.4909924486989919,0.26521948005866886,0.601106009623817,0.1101135609248251,0.33588652956514814
AK2 (204),0.25200894474983215,True,-0.057360511772093545,0.5870754786051408,0.046546459230237446,0.5994891154218595,0.012413636816718698,0.552942656191622
SNAP23 (8773),0.6563600897789001,True,-0.018914893598478606,0.3758004342239824,-0.004680837186623188,0.5982123242348465,0.2224118900108641,0.6028931614214696
RAB6A (5870),0.44976845383644104,True,-0.06987441713643751,0.3638952935175127,-0.09134453492688852,0.5980558102158169,0.23416051669830418,0.6894003451427054
PFAS (5198),0.3993906080722809,True,-0.02705323504186551,0.5167676433390777,0.011686353176245994,0.5977019406136521,0.08093429727457446,0.5860155874374061
WWTR1 (25937),0.339170902967453,True,-0.027892750199635837,0.4119524047838763,0.5071377608538361,0.5938242921558919,0.18187188737201565,0.08668653130205584
LDB1 (8861),0.3340875506401062,True,-0.03595449478129044,0.4319479891279655,0.32854733871906444,0.5930926842130987,0.16114469508513318,0.26454534549403425
GART (2618),0.3891810476779938,True,-0.04592867124095421,0.5178020423765531,0.12596808072954704,0.5919305894671679,0.07412854709061478,0.4659625087376209
SDHA (6389),0.35428979992866516,True,-0.03417383322894817,0.4599092544519717,0.05286887863990762,0.5890439738750026,0.1291347194230309,0.536175095235095
ARHGEF7 (8874),0.3639813959598541,True,-0.029184818937961293,0.4540667236261539,0.16083492055001553,0.5873718348796628,0.1333051112535089,0.4265369143296473
PARD6B (84612),0.30856096744537354,True,-0.041257590007001396,0.41154983384384713,0.41707336222748104,0.5870975835403113,0.17554774969646414,0.17002422131283024
CCNE1 (898),0.2905806303024292,True,-0.035176120457309785,0.3093036596501971,0.4170646412046402,0.5860112873397388,0.2767076276895417,0.16894664613509863
RAB10 (10890),0.41693419218063354,True,-0.03062068092412368,0.45757226800429973,0.10703650185875987,0.5853752556707157,0.12780298766641596,0.4783387538119558
TLN1 (7094),0.3585086762905121,True,-0.052826574923487586,0.42621587854952486,0.12611290892781593,0.5850128973028261,0.15879701875330127,0.4588999883750102
NFE2L2 (4780),0.2772340774536133,True,-0.06105293901114169,0.23137915136256398,0.08690955365614537,0.5849841657682973,0.3536050144057333,0.49807461211215187
EP300 (2033),0.4844769835472107,True,-0.028249819213772284,0.45384681142191924,0.2267784850300772,0.5840510331301031,0.13020422170818385,0.3572725481000259
NCKAP1 (10787),0.3682261109352112,True,-0.03771573849633963,0.4693452686246614,0.3573300016142729,0.5835721767708183,0.11422690814615688,0.22624217515654538
ATIC (471),0.4021686017513275,True,-0.0394117763741475,0.5075515092871562,0.20255887845989093,0.5835096060432892,0.07595809675613296,0.3809507275833982
ILK (3611),0.3389449715614319,True,-0.06477178163960257,0.45922281021037753,0.17684534484572265,0.5832704835340138,0.12404767332363625,0.4064251386882911
WRN (7486),0.3479922413825989,True,-0.0591286020175114,0.2613937780496964,-0.04068484487797539,0.5815602481731462,0.32016647012344984,0.6222450930511216
