roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_features
0.800345935260687,0.8810425800824635,0.7413516184828268,0.7370892018779343,0.7456140350877193,0.7869674185463659,0.19698546509488055,327,0.6513761467889908,0.497,0,all,wgd,random_forest,1415
0.7305823243554896,0.7921407592651073,0.7305411415863603,0.7417840375586855,0.7192982456140351,0.7841191066997518,0.20746714315029374,327,0.6513761467889908,0.528,0,5,wgd,random_forest,5
0.7459434972407545,0.8098838186192556,0.7275759822090437,0.7183098591549296,0.7368421052631579,0.7727272727272727,0.20424903793659485,327,0.6513761467889908,0.517,0,10,wgd,random_forest,10
0.7524709661477638,0.8207459726399634,0.7269582406721028,0.6995305164319249,0.7543859649122807,0.764102564102564,0.20150756998242,327,0.6513761467889908,0.521,0,20,wgd,random_forest,20
0.7685528374927931,0.8502222526407861,0.7169508277736595,0.6619718309859155,0.7719298245614035,0.7421052631578947,0.1983454502101443,327,0.6513761467889908,0.554,0,50,wgd,random_forest,50
0.7845361253064107,0.8502782060902662,0.7397689974656196,0.7981220657276995,0.6814159292035398,0.8114558472553699,0.19488916657958116,326,0.6533742331288344,0.512,1,all,wgd,random_forest,1356
0.7471851759524699,0.799563222698871,0.7082554322988076,0.7793427230046949,0.6371681415929203,0.7904761904761904,0.1973057760681406,326,0.6533742331288344,0.53,1,5,wgd,random_forest,5
0.7691013336657111,0.8125522576225156,0.7303793261041174,0.7793427230046949,0.6814159292035398,0.8,0.18670338908119014,326,0.6533742331288344,0.564,1,10,wgd,random_forest,10
0.757260376417799,0.8269087393767856,0.7306493830238066,0.7887323943661971,0.672566371681416,0.8038277511961722,0.1910267954635084,326,0.6533742331288344,0.503,1,20,wgd,random_forest,20
0.7688935975736424,0.8425246523222412,0.731646516265736,0.7464788732394366,0.7168141592920354,0.7871287128712872,0.19230680751685997,326,0.6533742331288344,0.554,1,50,wgd,random_forest,50
0.7187253313390667,0.7937772442708348,0.64803273920811,0.6854460093896714,0.6106194690265486,0.7245657568238213,0.22538888415162725,326,0.6533742331288344,0.507,2,all,wgd,random_forest,1402
0.6656695334247371,0.7543773616872136,0.6449582450454943,0.7323943661971831,0.5575221238938053,0.7446300715990454,0.22973017782561103,326,0.6533742331288344,0.439,2,5,wgd,random_forest,5
0.6630520586646724,0.7600521787185236,0.6394532386056754,0.6948356807511737,0.584070796460177,0.7254901960784313,0.22311131895578906,326,0.6533742331288344,0.588,2,10,wgd,random_forest,10
0.6917611865885578,0.7837053794982779,0.663114379492293,0.6713615023474179,0.6548672566371682,0.7240506329113924,0.21464432619237117,326,0.6533742331288344,0.591,2,20,wgd,random_forest,20
0.7075491295857742,0.7821486552583351,0.6626573600897421,0.7323943661971831,0.5929203539823009,0.7518072289156627,0.21095272516471608,326,0.6533742331288344,0.533,2,50,wgd,random_forest,50
0.8027338069716232,0.8736998664757372,0.7610827205118618,0.7699530516431925,0.7522123893805309,0.8098765432098766,0.19450507385019566,326,0.6533742331288344,0.513,3,all,wgd,random_forest,1277
0.7545598072209065,0.8224252650617472,0.7194524076613071,0.784037558685446,0.6548672566371682,0.7971360381861575,0.1951682126094405,326,0.6533742331288344,0.374,3,5,wgd,random_forest,5
0.7583821513149693,0.8193346698312065,0.7233370725829906,0.7652582159624414,0.6814159292035398,0.7912621359223301,0.19554476642772087,326,0.6533742331288344,0.495,3,10,wgd,random_forest,10
0.7864057501350284,0.8563671578533881,0.7206365033860983,0.6713615023474179,0.7699115044247787,0.7486910994764397,0.19188524869218526,326,0.6533742331288344,0.608,3,20,wgd,random_forest,20
0.796979517221322,0.8584641453823382,0.7180190286260335,0.6572769953051644,0.7787610619469026,0.7407407407407407,0.18594223103919183,326,0.6533742331288344,0.575,3,50,wgd,random_forest,50
0.7194637537239325,0.8075692186972117,0.6826795762992386,0.7688679245283019,0.5964912280701754,0.7743467933491687,0.21046240502181582,326,0.6503067484662577,0.507,4,all,wgd,random_forest,1380
0.7160708374710362,0.8028819548937298,0.663108242303873,0.7735849056603774,0.5526315789473685,0.7681498829039812,0.21262586410008089,326,0.6503067484662577,0.524,4,5,wgd,random_forest,5
0.7085195299569679,0.7972129460340631,0.6873965574313141,0.7783018867924528,0.5964912280701754,0.7801418439716312,0.2101274378722376,326,0.6503067484662577,0.518,4,10,wgd,random_forest,10
0.7125744786494538,0.8098888826863521,0.6860724925521351,0.7405660377358491,0.631578947368421,0.7639902676399026,0.20762826696027764,326,0.6503067484662577,0.549,4,20,wgd,random_forest,20
0.7107952664680569,0.810874856413917,0.6945134061569017,0.7311320754716981,0.6578947368421053,0.7635467980295566,0.20921021185609995,326,0.6503067484662577,0.56,4,50,wgd,random_forest,50
0.7511596588358522,0.698804360008833,0.7126290588059255,0.7423312883435583,0.6829268292682927,0.7202380952380952,0.21158789781397333,327,0.4984709480122324,0.5,0,all,cin,random_forest,1395
0.7052035014215172,0.6615203922418514,0.6762494388747569,0.8098159509202454,0.5426829268292683,0.7135135135135136,0.21512079573016565,327,0.4984709480122324,0.386,0,5,cin,random_forest,5
0.7111514289989527,0.6666624436227578,0.694654346850217,0.8466257668711656,0.5426829268292683,0.7340425531914894,0.2121464335326561,327,0.4984709480122324,0.393,0,10,cin,random_forest,10
0.7308095166841239,0.6781368144235521,0.6850216968427354,0.6871165644171779,0.6829268292682927,0.6850152905198776,0.2069780280135899,327,0.4984709480122324,0.558,0,20,cin,random_forest,20
0.752150980098758,0.7164037298938458,0.7035014215172827,0.7484662576687117,0.6585365853658537,0.7155425219941349,0.20292343901403334,327,0.4984709480122324,0.501,0,50,cin,random_forest,50
0.753999021415936,0.7175304102060529,0.6871165644171779,0.7116564417177914,0.6625766871165644,0.6946107784431138,0.21159622458617355,326,0.5,0.522,1,all,cin,random_forest,1380
0.7038465881290226,0.6545837607090005,0.6717791411042945,0.7668711656441718,0.5766871165644172,0.7002801120448179,0.21585058183188563,326,0.5,0.487,1,5,cin,random_forest,5
0.7187135383341487,0.6670220492184162,0.6748466257668712,0.803680981595092,0.5460122699386503,0.7119565217391305,0.21177794828432323,326,0.5,0.473,1,10,cin,random_forest,10
0.7232112612443072,0.6717330328848179,0.6748466257668712,0.7300613496932515,0.6196319018404908,0.6918604651162791,0.2115988234069996,326,0.5,0.541,1,20,cin,random_forest,20
0.7476946817719898,0.6984681192280715,0.6809815950920246,0.7668711656441718,0.5950920245398773,0.7062146892655368,0.20611259720763098,326,0.5,0.516,1,50,cin,random_forest,50
0.7067258835484964,0.6878636270996159,0.6380368098159509,0.6319018404907976,0.6441717791411042,0.6358024691358025,0.22062116700373527,326,0.5,0.526,2,all,cin,random_forest,1469
0.6479920207760925,0.6147315811048981,0.6196319018404908,0.7791411042944786,0.4601226993865031,0.671957671957672,0.23379285886521106,326,0.5,0.412,2,5,cin,random_forest,5
0.6625202303436335,0.6098429263078816,0.6319018404907976,0.7607361963190185,0.5030674846625767,0.6739130434782609,0.2289675069067832,326,0.5,0.488,2,10,cin,random_forest,10
0.6699913432948172,0.6332121553763131,0.6349693251533742,0.7239263803680982,0.5460122699386503,0.6647887323943662,0.22606178735492383,326,0.5,0.508,2,20,cin,random_forest,20
0.6817531709887462,0.6575095989374498,0.6288343558282208,0.7177914110429447,0.5398773006134969,0.6591549295774648,0.22303803542351214,326,0.5,0.467,2,50,cin,random_forest,50
0.7208777146298317,0.7057687807764741,0.6717791411042945,0.7177914110429447,0.6257668711656442,0.6862170087976539,0.21800615328785575,326,0.5,0.516,3,all,cin,random_forest,1220
0.6375851556325041,0.5845765926110753,0.647239263803681,0.7852760736196319,0.50920245398773,0.6900269541778976,0.22974694076486227,326,0.5,0.341,3,5,cin,random_forest,5
0.647634461214197,0.5945832511616255,0.6441717791411044,0.7361963190184049,0.5521472392638037,0.6741573033707865,0.22857114507271387,326,0.5,0.501,3,10,cin,random_forest,10
0.6650419662012119,0.6141825678095333,0.6503067484662577,0.754601226993865,0.5460122699386503,0.6833333333333333,0.22628220286046116,326,0.5,0.475,3,20,cin,random_forest,20
0.6846889231811508,0.6687627915689263,0.6226993865030674,0.5766871165644172,0.6687116564417178,0.6045016077170418,0.2226062219460834,326,0.5,0.584,3,50,cin,random_forest,50
0.7360546522131887,0.720103427493457,0.6810072267389341,0.676829268292683,0.6851851851851852,0.6809815950920245,0.21686130380267643,326,0.5030674846625767,0.514,4,all,cin,random_forest,1345
0.6607196627521831,0.6279546632288294,0.6315492321589882,0.6890243902439024,0.5740740740740741,0.653179190751445,0.2277910189060514,326,0.5030674846625767,0.492,4,5,cin,random_forest,5
0.66918849744053,0.636950216801921,0.64306684733514,0.823170731707317,0.46296296296296297,0.6994818652849741,0.2229104633661396,326,0.5030674846625767,0.391,4,10,cin,random_forest,10
0.7080698584763625,0.6784092997141375,0.6836043360433605,0.7560975609756098,0.6111111111111112,0.7065527065527065,0.21503640218491077,326,0.5030674846625767,0.52,4,20,cin,random_forest,20
0.726193164709425,0.6971622204998964,0.6532294489611563,0.676829268292683,0.6296296296296297,0.6626865671641791,0.21637259309304074,326,0.5030674846625767,0.539,4,50,cin,random_forest,50
0.698862786173874,0.6643625639391155,0.6638672751758192,0.7484662576687117,0.5792682926829268,0.6892655367231638,0.23054800101176653,327,0.4984709480122324,0.478,0,all,loh,random_forest,1368
0.6478003890468352,0.59908412233957,0.6180233428101152,0.7116564417177914,0.524390243902439,0.6498599439775911,0.23333842336900415,327,0.4984709480122324,0.452,0,5,loh,random_forest,5
0.6765861140206494,0.6307974327603819,0.6331924285500523,0.6871165644171779,0.5792682926829268,0.6511627906976745,0.2271765007523531,327,0.4984709480122324,0.482,0,10,loh,random_forest,10
0.684086488104145,0.6318278482481428,0.6483428101152178,0.656441717791411,0.6402439024390244,0.6504559270516718,0.22768821942755055,327,0.4984709480122324,0.495,0,20,loh,random_forest,20
0.694149334131378,0.6388274607612496,0.6426193326350442,0.7791411042944786,0.5060975609756098,0.6846361185983828,0.22010234527645062,327,0.4984709480122324,0.393,0,50,loh,random_forest,50
0.7249614212051638,0.7109705138184533,0.6809815950920246,0.7668711656441718,0.5950920245398773,0.7062146892655368,0.21546459609163757,326,0.5,0.433,1,all,loh,random_forest,1404
0.6708758327374007,0.6107756202411434,0.665644171779141,0.754601226993865,0.5766871165644172,0.6929577464788732,0.22375945202470163,326,0.5,0.31,1,5,loh,random_forest,5
