roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.4954545454545455,0.7356162729244344,0.5590909090909091,0.8181818181818182,0.3,0.7659574468085106,0.24517361435484614,32,0.6875,0.495,0,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1546,1936,Biliary Tract
0.475,0.6422154712863176,0.5678571428571428,0.85,0.2857142857142857,0.723404255319149,0.24199704020739338,34,0.5882352941176471,0.485,1,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1544,1913,Bladder/Urinary Tract
0.5815147625160462,0.6303095406086013,0.5070603337612323,0.5263157894736842,0.4878048780487805,0.5063291139240507,0.2496822664627443,79,0.4810126582278481,0.475,2,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1499,1917,Bone
0.7068376068376069,0.6646603164114719,0.7282051282051283,0.9230769230769231,0.5333333333333333,0.8089887640449438,0.208329130589489,69,0.5652173913043478,0.511,3,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1509,1431,Bowel
0.821969696969697,0.9447657224266173,0.7007575757575758,0.8181818181818182,0.5833333333333334,0.8470588235294118,0.21415155070437977,56,0.7857142857142857,0.466,4,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1522,1889,Breast
0.6520146520146519,0.499808030372611,0.657967032967033,0.9230769230769231,0.39285714285714285,0.6605504587155964,0.23990792731177163,95,0.4105263157894737,0.453,5,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1483,1894,CNS/Brain
0.6714285714285715,0.7260476835194881,0.5785714285714286,0.35714285714285715,0.8,0.47619047619047616,0.260404855250648,24,0.5833333333333334,0.496,6,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1554,1910,Cervix
0.76036866359447,0.9072745764421823,0.7453917050691243,0.9193548387096774,0.5714285714285714,0.912,0.1828411566495665,76,0.8157894736842105,0.472,7,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1502,1801,Esophagus/Stomach
0.12941176470588237,0.15874472276949056,0.38235294117647056,0.0,0.7647058823529411,0.0,0.21565914946862053,22,0.22727272727272727,0.423,8,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1556,1950,Eye
0.5862068965517242,0.5384615384615384,0.7155172413793103,0.5,0.9310344827586207,0.4,0.14149928692926786,31,0.06451612903225806,0.443,9,random_forest,loh,lolo,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1547,1956,Fibroblast
