target,panel_size,jaccard
wgd,5,0.7666666666666667
wgd,10,0.6067266067266067
wgd,20,0.5583475783475784
wgd,50,0.46554147367503534
cin,5,0.7333333333333334
cin,10,0.5201465201465201
cin,20,0.4676502042019283
cin,50,0.4923143778642499
loh,5,0.5297619047619048
loh,10,0.5439560439560439
loh,20,0.4959299959299959
loh,50,0.3928954298248927
