roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model,n_features
0.7607281113582077,0.8491580628278474,0.7078700271806276,0.6525821596244131,0.7631578947368421,0.7335092348284961,0.20312488961067018,327,0.6513761467889908,0.51,0,all,wgd,elastic_net,1415
0.7468701095461658,0.8093487853507574,0.7234988880652335,0.7276995305164319,0.7192982456140351,0.775,0.20422125069928687,327,0.6513761467889908,0.438,0,5,wgd,elastic_net,5
0.7377481261840046,0.808879839645295,0.7105263157894737,0.6666666666666666,0.7543859649122807,0.741514360313316,0.20826527652593865,327,0.6513761467889908,0.542,0,10,wgd,elastic_net,10
0.7262375422123384,0.7953588683218314,0.7081788979490982,0.6619718309859155,0.7543859649122807,0.7382198952879581,0.21036892342070584,327,0.6513761467889908,0.503,0,20,wgd,elastic_net,20
0.7086113170249567,0.7869570629710199,0.6876698789226587,0.6384976525821596,0.7368421052631579,0.7176781002638523,0.23006788724607552,327,0.6513761467889908,0.548,0,50,wgd,elastic_net,50
0.7546221280485271,0.8122742363866979,0.7277618513440525,0.7652582159624414,0.6902654867256637,0.7931873479318735,0.19329698312416585,326,0.6533742331288344,0.526,1,all,wgd,elastic_net,1356
0.7049316548257094,0.7793024580313228,0.7017532926170593,0.784037558685446,0.6194690265486725,0.789598108747045,0.20571423101754444,326,0.6533742331288344,0.472,1,5,wgd,elastic_net,5
0.7409323195812042,0.8054902613805159,0.7339939341061116,0.7511737089201878,0.7168141592920354,0.7901234567901234,0.19348275537952905,326,0.6533742331288344,0.563,1,10,wgd,elastic_net,10
0.7443807387095434,0.8074008962031618,0.7277618513440525,0.7652582159624414,0.6902654867256637,0.7931873479318735,0.19411105500469375,326,0.6533742331288344,0.569,1,20,wgd,elastic_net,20
0.708359300344842,0.7669518150853702,0.7147575719805559,0.7746478873239436,0.6548672566371682,0.7913669064748201,0.21070585823335866,326,0.6533742331288344,0.48,1,50,wgd,elastic_net,50
0.7168349329012422,0.7880652432258983,0.6719639370144169,0.6713615023474179,0.672566371681416,0.727735368956743,0.21388250627916996,326,0.6533742331288344,0.504,2,all,wgd,elastic_net,1402
0.6556982010054427,0.7471916841373469,0.6423407702854294,0.7183098591549296,0.5663716814159292,0.7373493975903614,0.22982380161236096,326,0.6533742331288344,0.494,2,5,wgd,elastic_net,5
0.690514770036146,0.7734789833585237,0.6615771324109851,0.6948356807511737,0.6283185840707964,0.7344913151364765,0.22409652375531647,326,0.6533742331288344,0.496,2,10,wgd,elastic_net,10
0.7017325190078523,0.7829197884923909,0.6688894428518011,0.7183098591549296,0.6194690265486725,0.7481662591687042,0.22101392511288165,326,0.6533742331288344,0.484,2,20,wgd,elastic_net,20
0.7067597324359134,0.7875932897158303,0.6654617973326686,0.676056338028169,0.6548672566371682,0.7272727272727273,0.214417336092495,326,0.6533742331288344,0.559,2,50,wgd,elastic_net,50
0.7775769662221114,0.8412519054577189,0.7339939341061116,0.7511737089201878,0.7168141592920354,0.7901234567901234,0.19142134304837702,326,0.6533742331288344,0.486,3,all,wgd,elastic_net,1277
0.7330591216918028,0.792152390721526,0.7124101541401804,0.7699530516431925,0.6548672566371682,0.7884615384615384,0.20060748079590454,326,0.6533742331288344,0.455,3,5,wgd,elastic_net,5
0.7563671112219037,0.8215795579080857,0.7118700403008018,0.7511737089201878,0.672566371681416,0.7804878048780488,0.1989260643460416,326,0.6533742331288344,0.474,3,10,wgd,elastic_net,10
0.7507166895176369,0.8227918621281988,0.7211766172254768,0.6901408450704225,0.7522123893805309,0.7577319587628866,0.20247581444578427,326,0.6533742331288344,0.507,3,20,wgd,elastic_net,20
0.7154223274751755,0.7998103939163302,0.678196019776476,0.6572769953051644,0.6991150442477876,0.7235142118863049,0.22573798036272477,326,0.6533742331288344,0.558,3,50,wgd,elastic_net,50
0.7342353525322741,0.8199889032838957,0.6715491559086395,0.7641509433962265,0.5789473684210527,0.7677725118483413,0.20157332244129858,326,0.6503067484662577,0.466,4,all,wgd,elastic_net,1380
0.7042990731545847,0.785536905755488,0.6870655412115194,0.7688679245283019,0.6052631578947368,0.7761904761904762,0.20561043076170277,326,0.6503067484662577,0.532,4,5,wgd,elastic_net,5
0.7116434955312811,0.7960177588947034,0.6931479642502483,0.7547169811320755,0.631578947368421,0.7729468599033816,0.20537751244140579,326,0.6503067484662577,0.482,4,10,wgd,elastic_net,10
0.725980635551142,0.8172955479416556,0.7015888778550149,0.7452830188679245,0.6578947368421053,0.7726161369193154,0.20158231705530805,326,0.6503067484662577,0.526,4,20,wgd,elastic_net,20
0.6939548162859981,0.7799272292675701,0.6567361800728235,0.7169811320754716,0.5964912280701754,0.7414634146341463,0.21373681511180734,326,0.6503067484662577,0.509,4,50,wgd,elastic_net,50
0.688874756845728,0.6361203754811702,0.6640543169235373,0.8098159509202454,0.5182926829268293,0.7058823529411765,0.23220007067507495,327,0.4984709480122324,0.377,0,all,cin,elastic_net,1395
0.6925407751010026,0.6303843474439526,0.6883884483016609,0.7914110429447853,0.5853658536585366,0.7166666666666667,0.2158262831245083,327,0.4984709480122324,0.423,0,5,cin,elastic_net,5
