lineage,ASXL1 (171023)_damaging,BRAF (673)_hotspot,CREBBP (1387)_damaging,ID3 (3399)_damaging,KRAS (3845)_hotspot,LRP1B (53353)_damaging,MUC19 (283463)_damaging,NFE2L2 (4780)_hotspot,PDS5B (23047)_damaging,PIK3CA (5290)_hotspot,PITX1 (5307)_damaging,RB1 (5925)_damaging,RB1 (5925)_hotspot,SLFN11 (91607)_damaging,TERT (7015)_hotspot,TP53 (7157)_damaging,TP53 (7157)_hotspot,TTN (7273)_damaging,TYRO3 (7301)_damaging
Biliary Tract,0.0,0.0625,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0625,0.0,0.0625,0.03125,0.0,0.21875,0.75,0.5625,0.03125,0.03125
Bladder/Urinary Tract,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.08823529411764706,0.029411764705882353,0.23529411764705882,0.0,0.20588235294117646,0.08823529411764706,0.0,0.5588235294117647,0.7941176470588235,0.7058823529411765,0.14705882352941177,0.08823529411764706
Bone,0.0,0.012658227848101266,0.012658227848101266,0.0,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.0,0.0,0.0379746835443038,0.012658227848101266,0.05063291139240506,0.012658227848101266,0.02531645569620253,0.05063291139240506,0.5189873417721519,0.4177215189873418,0.0379746835443038,0.0379746835443038
Bowel,0.13043478260869565,0.2028985507246377,0.11594202898550725,0.0,0.5217391304347826,0.08695652173913043,0.10144927536231885,0.0,0.11594202898550725,0.2028985507246377,0.0,0.043478260869565216,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.8260869565217391,0.6811594202898551,0.2318840579710145,0.043478260869565216
Breast,0.0,0.017857142857142856,0.017857142857142856,0.0,0.03571428571428571,0.05357142857142857,0.017857142857142856,0.0,0.0,0.3392857142857143,0.0,0.017857142857142856,0.0,0.017857142857142856,0.05357142857142857,0.75,0.5892857142857143,0.03571428571428571,0.07142857142857142
CNS/Brain,0.0,0.031578947368421054,0.021052631578947368,0.0,0.021052631578947368,0.010526315789473684,0.042105263157894736,0.0,0.031578947368421054,0.06315789473684211,0.0,0.12631578947368421,0.06315789473684211,0.0,0.5368421052631579,0.6631578947368421,0.6105263157894737,0.05263157894736842,0.031578947368421054
Cervix,0.0,0.0,0.125,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.25,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333
Esophagus/Stomach,0.013157894736842105,0.0,0.06578947368421052,0.0,0.09210526315789473,0.06578947368421052,0.02631578947368421,0.09210526315789473,0.05263157894736842,0.11842105263157894,0.0,0.06578947368421052,0.02631578947368421,0.039473684210526314,0.02631578947368421,0.8421052631578947,0.7763157894736842,0.15789473684210525,0.02631578947368421
Eye,0.0,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091
Fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0967741935483871,0.03225806451612903,0.0967741935483871
Head and Neck,0.0125,0.0125,0.0875,0.0,0.0,0.025,0.0625,0.0625,0.0125,0.0875,0.025,0.0,0.0,0.0,0.3375,0.8875,0.625,0.1,0.0625
Kidney,0.0,0.0,0.02,0.0,0.0,0.02,0.06,0.04,0.02,0.04,0.0,0.0,0.0,0.04,0.1,0.28,0.2,0.04,0.08
Liver,0.0,0.08,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.52,0.76,0.68,0.16,0.0
