roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept
0.7511596588358522,0.698804360008833,0.7126290588059255,0.7423312883435583,0.6829268292682927,0.7202380952380952,0.21158789781397333,327,0.4984709480122324,0.5,0,random_forest,cin,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1304,1395
0.753999021415936,0.7175304102060529,0.6871165644171779,0.7116564417177914,0.6625766871165644,0.6946107784431138,0.21159622458617355,326,0.5,0.522,1,random_forest,cin,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1380
0.7067258835484964,0.6878636270996159,0.6380368098159509,0.6319018404907976,0.6441717791411042,0.6358024691358025,0.22062116700373527,326,0.5,0.526,2,random_forest,cin,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1469
0.7208777146298317,0.7057687807764741,0.6717791411042945,0.7177914110429447,0.6257668711656442,0.6862170087976539,0.21800615328785575,326,0.5,0.516,3,random_forest,cin,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1220
0.7360546522131887,0.720103427493457,0.6810072267389341,0.676829268292683,0.6851851851851852,0.6809815950920245,0.21686130380267643,326,0.5030674846625767,0.514,4,random_forest,cin,random,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1345
