model,target,mean,std,min,max,range,default_seed_auc
logistic,cin,0.7145919567861502,0.0011491809306783166,0.7133516506079955,0.7156205792740302,0.0022689286660346752,0.7105705886517591
logistic,loh,0.6989697935892645,0.0018730462775879003,0.6968363182001717,0.700343963278059,0.003507645077887367,0.6934277992333915
logistic,wgd,0.7148040663114877,0.0005734777476560058,0.7143505041344433,0.7154486843786543,0.0010981802442109334,0.7134785891340285
random_forest,cin,0.7622441540061137,0.002362448931744752,0.7604428964986703,0.764918977929204,0.004476081430533796,0.7618339507538501
random_forest,loh,0.7465576656975556,0.001227356920854904,0.7454776288889766,0.7478923823969585,0.002414753507981926,0.7429227063315418
random_forest,wgd,0.7624372077377469,0.0004603833279017978,0.7619624254438191,0.7628816958152516,0.0009192703714324679,0.7704774663139183
