feature,kind,n_cell_lines
FOXA1 (3169)_hotspot,hotspot,0
ACTR10 (55860)_hotspot,hotspot,1
SIX4 (51804)_hotspot,hotspot,0
HSPA2 (3306)_hotspot,hotspot,1
MAX (4149)_hotspot,hotspot,2
LRRC74A (145497)_hotspot,hotspot,0
DICER1 (23405)_hotspot,hotspot,0
TNFAIP2 (7127)_hotspot,hotspot,1
AKT1 (207)_hotspot,hotspot,6
NPAP1 (23742)_hotspot,hotspot,2
SNRPN (6638)_hotspot,hotspot,0
EIF2AK4 (440275)_hotspot,hotspot,0
KNSTRN (90417)_hotspot,hotspot,4
B2M (567)_hotspot,hotspot,3
DMXL2 (23312)_hotspot,hotspot,2
UNC13C (440279)_hotspot,hotspot,2
DENND4A (10260)_hotspot,hotspot,1
MAP2K1 (5604)_hotspot,hotspot,10
CLK3 (1198)_hotspot,hotspot,0
DNAJA4 (55466)_hotspot,hotspot,2
BTBD1 (53339)_hotspot,hotspot,1
AKAP13 (11214)_hotspot,hotspot,1
MFGE8 (4240)_hotspot,hotspot,1
IDH2 (3418)_hotspot,hotspot,0
BLM (641)_hotspot,hotspot,1
ASB7 (140460)_hotspot,hotspot,0
RAB40C (57799)_hotspot,hotspot,1
TSC2 (7249)_hotspot,hotspot,2
CREBBP (1387)_hotspot,hotspot,14
GRIN2A (2903)_hotspot,hotspot,1
TMC5 (79838)_hotspot,hotspot,2
GP2 (2813)_hotspot,hotspot,1
DNAH3 (55567)_hotspot,hotspot,3
PALB2 (79728)_hotspot,hotspot,1
TENT4B (64282)_hotspot,hotspot,2
CYLD (1540)_hotspot,hotspot,0
NUP93 (9688)_hotspot,hotspot,0
CNOT1 (23019)_hotspot,hotspot,0
CDH11 (1009)_hotspot,hotspot,1
CTCF (10664)_hotspot,hotspot,2
PARD6A (50855)_hotspot,hotspot,0
CDH1 (999)_hotspot,hotspot,4
NQO1 (1728)_hotspot,hotspot,1
HYDIN (54768)_hotspot,hotspot,2
CENPN (55839)_hotspot,hotspot,2
GSE1 (23199)_hotspot,hotspot,1
ANKRD11 (29123)_hotspot,hotspot,0
GAS8 (2622)_hotspot,hotspot,1
TP53 (7157)_hotspot,hotspot,762
MAP2K4 (6416)_hotspot,hotspot,2
MYOCD (93649)_hotspot,hotspot,1
FAM83G (644815)_hotspot,hotspot,0
NF1 (4763)_hotspot,hotspot,19
GAS2L2 (246176)_hotspot,hotspot,8
SRCIN1 (80725)_hotspot,hotspot,1
ERBB2 (2064)_hotspot,hotspot,13
KRT15 (3866)_hotspot,hotspot,2
STAT3 (6774)_hotspot,hotspot,3
BRCA1 (672)_hotspot,hotspot,3
DBF4B (80174)_hotspot,hotspot,1
SPOP (8405)_hotspot,hotspot,1
ANKRD40 (91369)_hotspot,hotspot,5
RNF43 (54894)_hotspot,hotspot,0
SMG8 (55181)_hotspot,hotspot,1
HEATR6 (63897)_hotspot,hotspot,1
BRIP1 (83990)_hotspot,hotspot,1
ABCA9 (10350)_hotspot,hotspot,1
ABCA5 (23461)_hotspot,hotspot,1
H3-3B (3021)_hotspot,hotspot,0
SRSF2 (6427)_hotspot,hotspot,1
HEXD (284004)_hotspot,hotspot,2
ZNF750 (79755)_hotspot,hotspot,1
DSC3 (1825)_hotspot,hotspot,1
DSG1 (1828)_hotspot,hotspot,1
TRAPPC8 (22878)_hotspot,hotspot,1
CCDC178 (374864)_hotspot,hotspot,1
ASXL3 (80816)_hotspot,hotspot,1
SLC39A6 (25800)_hotspot,hotspot,1
LOXHD1 (125336)_hotspot,hotspot,0
SMAD2 (4087)_hotspot,hotspot,3
DYM (54808)_hotspot,hotspot,1
SMAD4 (4089)_hotspot,hotspot,26
DCC (1630)_hotspot,hotspot,1
TXNL1 (9352)_hotspot,hotspot,1
RNF152 (220441)_hotspot,hotspot,2
BCL2 (596)_hotspot,hotspot,4
DSEL (92126)_hotspot,hotspot,0
ZNF407 (55628)_hotspot,hotspot,1
ZNF236 (7776)_hotspot,hotspot,0
PRSS57 (400668)_hotspot,hotspot,1
STK11 (6794)_hotspot,hotspot,20
CIRBP (1153)_hotspot,hotspot,3
GNA11 (2767)_hotspot,hotspot,6
MUC16 (94025)_hotspot,hotspot,1
ZNF559 (84527)_hotspot,hotspot,1
KEAP1 (9817)_hotspot,hotspot,8
SMARCA4 (6597)_hotspot,hotspot,15
ZNF823 (55552)_hotspot,hotspot,0
ZNF439 (90594)_hotspot,hotspot,0
ZNF564 (163050)_hotspot,hotspot,1
DHPS (1725)_hotspot,hotspot,1
ZNF333 (84449)_hotspot,hotspot,2
BRD4 (23476)_hotspot,hotspot,1
NWD1 (284434)_hotspot,hotspot,2
ZNF14 (7561)_hotspot,hotspot,2
ZNF675 (171392)_hotspot,hotspot,1
ZNF254 (9534)_hotspot,hotspot,0
CEBPA (1050)_hotspot,hotspot,1
ZNF570 (148268)_hotspot,hotspot,2
ZNF781 (Unknown)_hotspot,hotspot,2
TGFB1 (7040)_hotspot,hotspot,0
CIC (23152)_hotspot,hotspot,2
ZNF180 (7733)_hotspot,hotspot,1
ERCC2 (2068)_hotspot,hotspot,1
ARHGAP35 (2909)_hotspot,hotspot,0
ZC3H4 (23211)_hotspot,hotspot,5
IRF3 (3661)_hotspot,hotspot,3
BCL2L12 (83596)_hotspot,hotspot,1
ZNF615 (284370)_hotspot,hotspot,1
ZNF432 (9668)_hotspot,hotspot,0
PPP2R1A (5518)_hotspot,hotspot,6
ZNF610 (162963)_hotspot,hotspot,1
ZNF534 (147658)_hotspot,hotspot,2
CNOT3 (4849)_hotspot,hotspot,0
NLRP11 (204801)_hotspot,hotspot,3
NLRP4 (147945)_hotspot,hotspot,1
NLRP5 (126206)_hotspot,hotspot,1
ZNF583 (147949)_hotspot,hotspot,1
ZIM3 (114026)_hotspot,hotspot,2
SLC27A5 (10998)_hotspot,hotspot,3
MBOAT2 (129642)_hotspot,hotspot,0
MYCN (4613)_hotspot,hotspot,2
DNMT3A (1788)_hotspot,hotspot,3
ASXL2 (55252)_hotspot,hotspot,0
ALK (238)_hotspot,hotspot,8
RASGRP3 (25780)_hotspot,hotspot,0
SOS1 (6654)_hotspot,hotspot,3
MSH2 (4436)_hotspot,hotspot,9
MSH6 (2956)_hotspot,hotspot,3
LHCGR (3973)_hotspot,hotspot,3
XPO1 (7514)_hotspot,hotspot,9
PCBP1 (5093)_hotspot,hotspot,0
C2orf81 (388963)_hotspot,hotspot,19
CTNNA2 (1496)_hotspot,hotspot,1
TGOLN2 (10618)_hotspot,hotspot,0
GPR45 (11250)_hotspot,hotspot,1
SH3RF3 (344558)_hotspot,hotspot,1
BCL2L11 (10018)_hotspot,hotspot,0
IL37 (27178)_hotspot,hotspot,3
RALB (5899)_hotspot,hotspot,2
CNTNAP5 (129684)_hotspot,hotspot,1
ERCC3 (2071)_hotspot,hotspot,4
MYO7B (4648)_hotspot,hotspot,1
THSD7B (80731)_hotspot,hotspot,5
LRP1B (53353)_hotspot,hotspot,1
ACVR1 (90)_hotspot,hotspot,2
NFE2L2 (4780)_hotspot,hotspot,29
TTN (7273)_hotspot,hotspot,5
SF3B1 (23451)_hotspot,hotspot,7
CASP8 (841)_hotspot,hotspot,9
NDUFS1 (4719)_hotspot,hotspot,1
ZDBF2 (57683)_hotspot,hotspot,1
IDH1 (3417)_hotspot,hotspot,8
ERBB4 (2066)_hotspot,hotspot,1
BARD1 (580)_hotspot,hotspot,1
XRCC5 (7520)_hotspot,hotspot,1
CNOT9 (9125)_hotspot,hotspot,3
SCG2 (7857)_hotspot,hotspot,0
CUL3 (8452)_hotspot,hotspot,0
DOCK10 (55619)_hotspot,hotspot,0
GIGYF2 (26058)_hotspot,hotspot,1
AGAP1 (116987)_hotspot,hotspot,1
KAT14 (57325)_hotspot,hotspot,2
CRNKL1 (51340)_hotspot,hotspot,0
ZHX3 (23051)_hotspot,hotspot,1
PTPRT (11122)_hotspot,hotspot,2
ZNF334 (55713)_hotspot,hotspot,0
NFATC2 (4773)_hotspot,hotspot,0
GNAS (2778)_hotspot,hotspot,7
TCFL5 (10732)_hotspot,hotspot,1
MYT1 (4661)_hotspot,hotspot,1
TPTE (7179)_hotspot,hotspot,10
C21orf91 (54149)_hotspot,hotspot,3
LTN1 (26046)_hotspot,hotspot,1
SCAF4 (57466)_hotspot,hotspot,1
OLIG2 (10215)_hotspot,hotspot,2
OLIG1 (116448)_hotspot,hotspot,0
SON (6651)_hotspot,hotspot,1
RUNX1 (861)_hotspot,hotspot,0
U2AF1 (7307)_hotspot,hotspot,0
LZTR1 (8216)_hotspot,hotspot,1
DRICH1 (51233)_hotspot,hotspot,1
SMARCB1 (6598)_hotspot,hotspot,1
CHEK2 (11200)_hotspot,hotspot,1
NF2 (4771)_hotspot,hotspot,3
MORC2 (22880)_hotspot,hotspot,1
ISX (91464)_hotspot,hotspot,1
MYH9 (4627)_hotspot,hotspot,0
EP300 (2033)_hotspot,hotspot,10
CNTN4 (152330)_hotspot,hotspot,2
VHL (7428)_hotspot,hotspot,14
RAF1 (5894)_hotspot,hotspot,4
TOP2B (7155)_hotspot,hotspot,0
TGFBR2 (7048)_hotspot,hotspot,1
PDCD6IP (10015)_hotspot,hotspot,1
MLH1 (4292)_hotspot,hotspot,2
GOLGA4 (2803)_hotspot,hotspot,1
MYD88 (4615)_hotspot,hotspot,1
TTC21A (199223)_hotspot,hotspot,1
CTNNB1 (1499)_hotspot,hotspot,38
ZKSCAN7 (55888)_hotspot,hotspot,1
ZNF502 (91392)_hotspot,hotspot,2
SETD2 (29072)_hotspot,hotspot,1
CDC25A (993)_hotspot,hotspot,0
RHOA (387)_hotspot,hotspot,18
IFRD2 (7866)_hotspot,hotspot,2
DCAF1 (9730)_hotspot,hotspot,1
BAP1 (8314)_hotspot,hotspot,1
PBRM1 (55193)_hotspot,hotspot,2
MAGI1 (9223)_hotspot,hotspot,2
FOXP1 (27086)_hotspot,hotspot,0
TRAT1 (50852)_hotspot,hotspot,1
ZBED2 (79413)_hotspot,hotspot,1
USF3 (205717)_hotspot,hotspot,1
ILDR1 (286676)_hotspot,hotspot,0
EPHB1 (2047)_hotspot,hotspot,1
STAG1 (10274)_hotspot,hotspot,1
PIK3CB (5291)_hotspot,hotspot,5
FOXL2 (668)_hotspot,hotspot,1
SMC4 (10051)_hotspot,hotspot,1
PRKCI (5584)_hotspot,hotspot,1
PIK3CA (5290)_hotspot,hotspot,119
HTR3D (200909)_hotspot,hotspot,1
C3orf70 (285382)_hotspot,hotspot,2
BCL6 (604)_hotspot,hotspot,1
TP63 (8626)_hotspot,hotspot,1
MB21D2 (151963)_hotspot,hotspot,3
ZNF732 (654254)_hotspot,hotspot,1
TACC3 (10460)_hotspot,hotspot,1
FGFR3 (2261)_hotspot,hotspot,7
NSD2 (7468)_hotspot,hotspot,3
DHX15 (1665)_hotspot,hotspot,1
CORIN (10699)_hotspot,hotspot,1
KIT (3815)_hotspot,hotspot,5
KDR (3791)_hotspot,hotspot,5
UGT2A2 (574537)_hotspot,hotspot,1
TET2 (54790)_hotspot,hotspot,2
GAR1 (54433)_hotspot,hotspot,1
BLTP1 (84162)_hotspot,hotspot,2
FAT4 (79633)_hotspot,hotspot,1
PABPC4L (132430)_hotspot,hotspot,0
PCDH18 (54510)_hotspot,hotspot,1
SCOC (60592)_hotspot,hotspot,1
FBXW7 (55294)_hotspot,hotspot,32
SPOCK3 (50859)_hotspot,hotspot,1
CEP44 (80817)_hotspot,hotspot,2
FAT1 (2195)_hotspot,hotspot,2
TRIML2 (205860)_hotspot,hotspot,1
SDHA (6389)_hotspot,hotspot,0
TERT (7015)_hotspot,hotspot,242
IRX2 (153572)_hotspot,hotspot,0
ICE1 (23379)_hotspot,hotspot,1
DNAH5 (1767)_hotspot,hotspot,2
MYO10 (4651)_hotspot,hotspot,2
AGXT2 (64902)_hotspot,hotspot,1
UGT3A2 (167127)_hotspot,hotspot,0
CPLANE1 (65250)_hotspot,hotspot,2
RICTOR (253260)_hotspot,hotspot,1
PIK3R1 (5295)_hotspot,hotspot,22
AP3B1 (8546)_hotspot,hotspot,1
RASA1 (5921)_hotspot,hotspot,1
MEF2C (4208)_hotspot,hotspot,1
SLCO6A1 (133482)_hotspot,hotspot,1
APC (324)_hotspot,hotspot,38
RAD50 (10111)_hotspot,hotspot,1
PCDHA8 (56140)_hotspot,hotspot,1
PCDHA12 (56137)_hotspot,hotspot,1
PCDHB15 (56121)_hotspot,hotspot,1
PCDHGA1 (56114)_hotspot,hotspot,2
SH3RF2 (153769)_hotspot,hotspot,1
PPP2R2B (5521)_hotspot,hotspot,2
FAT2 (2196)_hotspot,hotspot,0
SOX30 (11063)_hotspot,hotspot,0
MAT2B (27430)_hotspot,hotspot,1
TENM2 (57451)_hotspot,hotspot,1
ZNF354B (117608)_hotspot,hotspot,2
IRF4 (3662)_hotspot,hotspot,2
PHACTR1 (221692)_hotspot,hotspot,1
PRL (5617)_hotspot,hotspot,0
H3C2 (8358)_hotspot,hotspot,1
H2BC9 (8345)_hotspot,hotspot,1
MDC1 (9656)_hotspot,hotspot,1
DXO (1797)_hotspot,hotspot,1
DAXX (1616)_hotspot,hotspot,4
PIM1 (5292)_hotspot,hotspot,1
CCND3 (896)_hotspot,hotspot,10
ABCC10 (89845)_hotspot,hotspot,0
FAM83B (222584)_hotspot,hotspot,0
HCRTR2 (3062)_hotspot,hotspot,1
COL21A1 (81578)_hotspot,hotspot,2
DST (667)_hotspot,hotspot,1
KCNQ5 (56479)_hotspot,hotspot,1
CGAS (115004)_hotspot,hotspot,2
EEF1A1 (1915)_hotspot,hotspot,0
HTR1E (3354)_hotspot,hotspot,1
RARS2 (57038)_hotspot,hotspot,1
EPHA7 (2045)_hotspot,hotspot,1
FBXL4 (26235)_hotspot,hotspot,0
ASCC3 (10973)_hotspot,hotspot,1
HDAC2 (3066)_hotspot,hotspot,2
HS3ST5 (222537)_hotspot,hotspot,1
RSPH4A (345895)_hotspot,hotspot,0
EYA4 (2070)_hotspot,hotspot,0
CCDC28A (25901)_hotspot,hotspot,1
ESR1 (2099)_hotspot,hotspot,0
SYNE1 (23345)_hotspot,hotspot,2
ARID1B (57492)_hotspot,hotspot,1
WTAP (9589)_hotspot,hotspot,1
MAP3K4 (4216)_hotspot,hotspot,2
CARD11 (84433)_hotspot,hotspot,4
ACTB (60)_hotspot,hotspot,0
PMS2 (5395)_hotspot,hotspot,5
RAC1 (5879)_hotspot,hotspot,15
AHR (196)_hotspot,hotspot,1
ABCA13 (154664)_hotspot,hotspot,1
EGFR (1956)_hotspot,hotspot,16
ZNF680 (340252)_hotspot,hotspot,1
MAGI2 (9863)_hotspot,hotspot,1
PCLO (27445)_hotspot,hotspot,2
SEMA3D (223117)_hotspot,hotspot,1
SAMD9L (219285)_hotspot,hotspot,0
PPP1R9A (55607)_hotspot,hotspot,0
PON1 (5444)_hotspot,hotspot,1
TRRAP (8295)_hotspot,hotspot,6
NRCAM (4897)_hotspot,hotspot,0
BMT2 (154743)_hotspot,hotspot,2
PPP1R3A (5506)_hotspot,hotspot,2
MET (4233)_hotspot,hotspot,2
CADPS2 (93664)_hotspot,hotspot,1
LMOD2 (442721)_hotspot,hotspot,1
POT1 (25913)_hotspot,hotspot,0
BRAF (673)_hotspot,hotspot,136
OR2A5 (393046)_hotspot,hotspot,2
CNTNAP2 (26047)_hotspot,hotspot,2
EZH2 (2146)_hotspot,hotspot,13
GIMAP6 (474344)_hotspot,hotspot,1
TUSC3 (7991)_hotspot,hotspot,0
XPO7 (23039)_hotspot,hotspot,2
ADAM28 (10863)_hotspot,hotspot,1
NEFM (4741)_hotspot,hotspot,2
WRN (7486)_hotspot,hotspot,4
FGFR1 (2260)_hotspot,hotspot,0
SOX17 (64321)_hotspot,hotspot,1
RP1 (6101)_hotspot,hotspot,1
TOX (9760)_hotspot,hotspot,2
PREX2 (80243)_hotspot,hotspot,3
HNF4G (3174)_hotspot,hotspot,1
ZFHX4 (79776)_hotspot,hotspot,1
ZFAND1 (79752)_hotspot,hotspot,2
CNBD1 (168975)_hotspot,hotspot,4
NBN (4683)_hotspot,hotspot,1
CPQ (10404)_hotspot,hotspot,1
SLC25A32 (81034)_hotspot,hotspot,0
RIMS2 (9699)_hotspot,hotspot,1
OXR1 (55074)_hotspot,hotspot,1
FAM91A1 (157769)_hotspot,hotspot,0
MYC (4609)_hotspot,hotspot,11
KCNK9 (51305)_hotspot,hotspot,1
PTP4A3 (11156)_hotspot,hotspot,0
GRINA (2907)_hotspot,hotspot,0
ZNF7 (7553)_hotspot,hotspot,1
JAK2 (3717)_hotspot,hotspot,4
BRD10 (158358)_hotspot,hotspot,1
BNC2 (54796)_hotspot,hotspot,0
DENND4C (55667)_hotspot,hotspot,1
CDKN2A (1029)_hotspot,hotspot,105
LINGO2 (158038)_hotspot,hotspot,1
RGP1 (9827)_hotspot,hotspot,0
FAM221B (392307)_hotspot,hotspot,1
SMC5 (23137)_hotspot,hotspot,1
GNAQ (2776)_hotspot,hotspot,7
PTCH1 (5727)_hotspot,hotspot,5
ZNF510 (22869)_hotspot,hotspot,1
XPA (7507)_hotspot,hotspot,1
TGFBR1 (7046)_hotspot,hotspot,0
ABCA1 (19)_hotspot,hotspot,2
KLF4 (9314)_hotspot,hotspot,1
C5 (727)_hotspot,hotspot,0
OR1N2 (138882)_hotspot,hotspot,1
RABGAP1 (23637)_hotspot,hotspot,1
SWI5 (375757)_hotspot,hotspot,1
GPR107 (57720)_hotspot,hotspot,1
SURF2 (6835)_hotspot,hotspot,0
RXRA (6256)_hotspot,hotspot,1
COL5A1 (1289)_hotspot,hotspot,2
NOTCH1 (4851)_hotspot,hotspot,2
CRLF2 (64109)_hotspot,hotspot,0
ANOS1 (3730)_hotspot,hotspot,1
EIF1AX (1964)_hotspot,hotspot,6
BCOR (54880)_hotspot,hotspot,1
KDM6A (7403)_hotspot,hotspot,1
IQSEC2 (23096)_hotspot,hotspot,2
MAGED2 (10916)_hotspot,hotspot,1
AR (367)_hotspot,hotspot,2
MED12 (9968)_hotspot,hotspot,0
ATRX (546)_hotspot,hotspot,1
TRPC5 (7224)_hotspot,hotspot,1
AMOT (154796)_hotspot,hotspot,2
DCAF12L2 (340578)_hotspot,hotspot,1
GPC3 (2719)_hotspot,hotspot,1
MAGEC1 (9947)_hotspot,hotspot,0
GABRE (2564)_hotspot,hotspot,1
FAM87B (400728)_damaging,damaging,1
LINC02593 (100130417)_damaging,damaging,1
SAMD11 (148398)_damaging,damaging,5
NOC2L (26155)_damaging,damaging,4
KLHL17 (339451)_damaging,damaging,5
PLEKHN1 (84069)_damaging,damaging,5
PERM1 (84808)_damaging,damaging,4
HES4 (57801)_damaging,damaging,3
ISG15 (9636)_damaging,damaging,1
AGRN (375790)_damaging,damaging,13
RNF223 (401934)_damaging,damaging,2
C1orf159 (54991)_damaging,damaging,3
TTLL10 (254173)_damaging,damaging,7
TNFRSF18 (8784)_damaging,damaging,4
TNFRSF4 (7293)_damaging,damaging,7
SDF4 (51150)_damaging,damaging,0
B3GALT6 (126792)_damaging,damaging,1
C1QTNF12 (388581)_damaging,damaging,1
UBE2J2 (118424)_damaging,damaging,2
SCNN1D (6339)_damaging,damaging,2
ACAP3 (116983)_damaging,damaging,10
PUSL1 (126789)_damaging,damaging,4
INTS11 (54973)_damaging,damaging,2
CPTP (80772)_damaging,damaging,1
TAS1R3 (83756)_damaging,damaging,5
DVL1 (1855)_damaging,damaging,11
MXRA8 (54587)_damaging,damaging,15
AURKAIP1 (54998)_damaging,damaging,1
CCNL2 (81669)_damaging,damaging,2
MRPL20 (55052)_damaging,damaging,1
ANKRD65 (441869)_damaging,damaging,0
TMEM88B (643965)_damaging,damaging,3
VWA1 (64856)_damaging,damaging,1
ATAD3C (219293)_damaging,damaging,3
ATAD3B (83858)_damaging,damaging,3
ATAD3A (55210)_damaging,damaging,2
TMEM240 (339453)_damaging,damaging,0
FNDC10 (643988)_damaging,damaging,0
MIB2 (142678)_damaging,damaging,6
