feature,kind,n_cell_lines
EIF3M (10480)_damaging,damaging,7
CCDC73 (493860)_damaging,damaging,21
PRRG4 (79056)_damaging,damaging,2
QSER1 (79832)_damaging,damaging,15
DEPDC7 (91614)_damaging,damaging,8
TCP11L1 (55346)_damaging,damaging,2
CSTF3 (1479)_damaging,damaging,12
HIPK3 (10114)_damaging,damaging,11
KIAA1549L (25758)_damaging,damaging,13
C11orf91 (100131378)_damaging,damaging,0
FBXO3 (26273)_damaging,damaging,3
FBXO3-DT (101928440)_damaging,damaging,1
LMO2 (4005)_damaging,damaging,2
CAPRIN1 (4076)_damaging,damaging,6
NAT10 (55226)_damaging,damaging,2
ABTB2 (25841)_damaging,damaging,2
CAT (847)_damaging,damaging,1
ELF5 (2001)_damaging,damaging,1
EHF (26298)_damaging,damaging,2
APIP (51074)_damaging,damaging,2
PDHX (8050)_damaging,damaging,0
CD44 (960)_damaging,damaging,4
SLC1A2 (6506)_damaging,damaging,3
PAMR1 (25891)_damaging,damaging,3
FJX1 (24147)_damaging,damaging,1
TRIM44 (54765)_damaging,damaging,2
LDLRAD3 (143458)_damaging,damaging,2
COMMD9 (29099)_damaging,damaging,1
PRR5L (79899)_damaging,damaging,2
TRAF6 (7189)_damaging,damaging,5
RAG1 (5896)_damaging,damaging,5
RAG2 (5897)_damaging,damaging,4
IFTAP (119710)_damaging,damaging,0
LINC01493 (101928536)_damaging,damaging,1
LRRC4C (57689)_damaging,damaging,4
LINC02741 (105376640)_damaging,damaging,2
LINC01499 (102723644)_damaging,damaging,3
LINC02745 (101928591)_damaging,damaging,0
LINC02740 (100507205)_damaging,damaging,1
API5 (8539)_damaging,damaging,3
TTC17 (55761)_damaging,damaging,4
MIR670HG (100507261)_damaging,damaging,1
HSD17B12 (51144)_damaging,damaging,1
ALKBH3 (221120)_damaging,damaging,2
C11orf96 (387763)_damaging,damaging,2
ACCSL (390110)_damaging,damaging,3
ACCS (84680)_damaging,damaging,5
EXT2 (2132)_damaging,damaging,1
ALX4 (60529)_damaging,damaging,6
CD82 (3732)_damaging,damaging,1
TSPAN18 (90139)_damaging,damaging,1
TP53I11 (9537)_damaging,damaging,1
PRDM11 (56981)_damaging,damaging,4
SYT13 (57586)_damaging,damaging,2
LINC02687 (399886)_damaging,damaging,0
CHST1 (8534)_damaging,damaging,6
SLC35C1 (55343)_damaging,damaging,1
CRY2 (1408)_damaging,damaging,2
MAPK8IP1 (9479)_damaging,damaging,2
FREY1 (143678)_damaging,damaging,1
PEX16 (9409)_damaging,damaging,5
LARGE2 (120071)_damaging,damaging,3
PHF21A (51317)_damaging,damaging,11
CREB3L1 (90993)_damaging,damaging,4
DGKZ (8525)_damaging,damaging,10
CHRM4 (1132)_damaging,damaging,1
AMBRA1 (55626)_damaging,damaging,9
HARBI1 (283254)_damaging,damaging,0
ATG13 (9776)_damaging,damaging,1
ARHGAP1 (392)_damaging,damaging,3
ZNF408 (79797)_damaging,damaging,1
F2 (2147)_damaging,damaging,2
CKAP5 (9793)_damaging,damaging,10
LRP4 (4038)_damaging,damaging,15
CSTPP1 (79096)_damaging,damaging,6
ARFGAP2 (84364)_damaging,damaging,4
PACSIN3 (29763)_damaging,damaging,3
DDB2 (1643)_damaging,damaging,5
ACP2 (53)_damaging,damaging,1
NR1H3 (10062)_damaging,damaging,4
MADD (8567)_damaging,damaging,9
MYBPC3 (4607)_damaging,damaging,6
SPI1 (6688)_damaging,damaging,5
SLC39A13 (91252)_damaging,damaging,4
PSMC3 (5702)_damaging,damaging,1
RAPSN (5913)_damaging,damaging,1
CELF1 (10658)_damaging,damaging,0
PTPMT1 (114971)_damaging,damaging,0
KBTBD4 (55709)_damaging,damaging,2
NDUFS3 (4722)_damaging,damaging,2
FAM180B (399888)_damaging,damaging,3
C1QTNF4 (114900)_damaging,damaging,0
MTCH2 (23788)_damaging,damaging,2
AGBL2 (79841)_damaging,damaging,11
FNBP4 (23360)_damaging,damaging,7
NUP160 (23279)_damaging,damaging,7
PTPRJ (5795)_damaging,damaging,8
OR4B1 (119765)_damaging,damaging,4
OR4X2 (119764)_damaging,damaging,2
OR4X1 (390113)_damaging,damaging,2
OR4S1 (256148)_damaging,damaging,1
OR4C3 (256144)_damaging,damaging,2
OR4C5 (79346)_damaging,damaging,3
OR4A47 (403253)_damaging,damaging,2
TRIM51G (120824)_damaging,damaging,5
TRIM49B (283116)_damaging,damaging,0
TRIM64C (646754)_damaging,damaging,4
TRIM77BP (646770)_damaging,damaging,2
FOLH1 (2346)_damaging,damaging,14
NOX4P1 (729960)_damaging,damaging,3
TRIM51FP (283257)_damaging,damaging,0
TRIM51DP (100419945)_damaging,damaging,1
OR4C13 (283092)_damaging,damaging,4
OR4C12 (283093)_damaging,damaging,8
OR4C45 (403257)_damaging,damaging,4
SEPTIN7P11 (Unknown)_damaging,damaging,1
OR4C46 (119749)_damaging,damaging,4
OR4A8 (81315)_damaging,damaging,6
OR4A5 (81318)_damaging,damaging,2
TRIM48 (79097)_damaging,damaging,4
OR4A16 (81327)_damaging,damaging,2
OR4A15 (81328)_damaging,damaging,11
OR4C15 (81309)_damaging,damaging,3
OR4C16 (219428)_damaging,damaging,3
OR4C11 (219429)_damaging,damaging,6
OR4P4 (81300)_damaging,damaging,14
OR4S2 (219431)_damaging,damaging,2
OR4C6 (219432)_damaging,damaging,2
OR5D3P (8594)_damaging,damaging,5
OR5D13 (390142)_damaging,damaging,4
OR5D14 (219436)_damaging,damaging,4
OR5L1 (219437)_damaging,damaging,3
OR5D18 (219438)_damaging,damaging,1
OR5L2 (26338)_damaging,damaging,3
OR5D16 (390144)_damaging,damaging,4
TRIM51 (84767)_damaging,damaging,5
OR5W2 (390148)_damaging,damaging,4
OR5I1 (10798)_damaging,damaging,8
OR10AG1 (282770)_damaging,damaging,2
OR5F1 (338674)_damaging,damaging,7
OR5AS1 (219447)_damaging,damaging,1
OR8I2 (120586)_damaging,damaging,4
OR8H2 (390151)_damaging,damaging,3
OR8H3 (390152)_damaging,damaging,3
OR8J3 (81168)_damaging,damaging,1
OR8K5 (219453)_damaging,damaging,5
OR5J2 (282775)_damaging,damaging,2
OR8J2 (81169)_damaging,damaging,4
OR5T2 (219464)_damaging,damaging,1
OR5T3 (390154)_damaging,damaging,5
OR5T1 (390155)_damaging,damaging,3
OR8H1 (219469)_damaging,damaging,0
OR8K3 (219473)_damaging,damaging,2
OR8K1 (390157)_damaging,damaging,2
OR8J1 (219477)_damaging,damaging,4
OR8U1 (219417)_damaging,damaging,0
OR8U3 (219479)_damaging,damaging,6
OR5M9 (390162)_damaging,damaging,1
OR5M3 (219482)_damaging,damaging,4
OR5M8 (219484)_damaging,damaging,3
OR5M11 (219487)_damaging,damaging,3
OR5M10 (390167)_damaging,damaging,0
OR5M1 (390168)_damaging,damaging,3
OR5AP2 (338675)_damaging,damaging,3
OR5AR1 (219493)_damaging,damaging,2
OR9G1 (390174)_damaging,damaging,1
OR9G4 (283189)_damaging,damaging,7
OR5G3 (81193)_damaging,damaging,2
FADS2B (643181)_damaging,damaging,1
OR5AK3P (81228)_damaging,damaging,3
OR5AK2 (390181)_damaging,damaging,3
LRRC55 (219527)_damaging,damaging,0
APLNR (187)_damaging,damaging,5
TNKS1BP1 (85456)_damaging,damaging,10
SSRP1 (6749)_damaging,damaging,5
P2RX3 (5024)_damaging,damaging,3
PRG3 (10394)_damaging,damaging,4
PRG2 (5553)_damaging,damaging,1
SLC43A3 (29015)_damaging,damaging,2
RTN4RL2 (349667)_damaging,damaging,6
SLC43A1 (8501)_damaging,damaging,0
SMTNL1 (219537)_damaging,damaging,3
UBE2L6 (9246)_damaging,damaging,2
SERPING1 (710)_damaging,damaging,5
CLP1 (10978)_damaging,damaging,4
ZDHHC5 (25921)_damaging,damaging,5
MED19 (219541)_damaging,damaging,2
TMX2 (51075)_damaging,damaging,6
SELENOH (280636)_damaging,damaging,1
BTBD18 (643376)_damaging,damaging,1
CTNND1 (1500)_damaging,damaging,15
OR6Q1 (219952)_damaging,damaging,0
OR9I1 (219954)_damaging,damaging,2
OR9Q1 (219956)_damaging,damaging,1
OR9Q2 (219957)_damaging,damaging,2
OR1S2 (219958)_damaging,damaging,1
OR1S1 (219959)_damaging,damaging,0
OR10Q1 (219960)_damaging,damaging,1
OR10W1 (81341)_damaging,damaging,1
OR5B17 (219965)_damaging,damaging,3
OR5B3 (441608)_damaging,damaging,3
OR5B2 (390190)_damaging,damaging,1
OR5B12 (390191)_damaging,damaging,7
OR5B21 (219968)_damaging,damaging,3
LPXN (9404)_damaging,damaging,2
ZFP91 (80829)_damaging,damaging,3
CNTF (1270)_damaging,damaging,0
GLYAT (10249)_damaging,damaging,3
GLYATL2 (219970)_damaging,damaging,1
GLYATL1P2 (100129933)_damaging,damaging,1
GLYATL1 (92292)_damaging,damaging,3
GLYATL1B (100287520)_damaging,damaging,2
FAM111B (374393)_damaging,damaging,5
FAM111A (63901)_damaging,damaging,5
DTX4 (23220)_damaging,damaging,12
MPEG1 (219972)_damaging,damaging,4
OR5AN1 (390195)_damaging,damaging,5
OR5A2 (219981)_damaging,damaging,1
OR5A1 (219982)_damaging,damaging,4
OR4D6 (219983)_damaging,damaging,4
OR4D10 (390197)_damaging,damaging,4
OR4D11 (219986)_damaging,damaging,2
OR4D9 (390199)_damaging,damaging,3
OSBP (5007)_damaging,damaging,3
PATL1 (219988)_damaging,damaging,4
OR10V1 (390201)_damaging,damaging,1
STX3 (6809)_damaging,damaging,1
MRPL16 (54948)_damaging,damaging,1
CBLIF (2694)_damaging,damaging,3
TCN1 (6947)_damaging,damaging,3
OOSP3 (112577461)_damaging,damaging,1
OOSP1 (255649)_damaging,damaging,0
OOSP4A (112577462)_damaging,damaging,4
OOSP4B (107987155)_damaging,damaging,0
OOSP2 (219990)_damaging,damaging,1
MS4A3 (932)_damaging,damaging,1
MS4A2 (2206)_damaging,damaging,3
LINC02705 (105369319)_damaging,damaging,1
MS4A6A (64231)_damaging,damaging,1
MS4A4E (643680)_damaging,damaging,5
MS4A4A (51338)_damaging,damaging,2
MS4A6E (245802)_damaging,damaging,4
MS4A7 (58475)_damaging,damaging,4
MS4A14 (84689)_damaging,damaging,2
MS4A5 (64232)_damaging,damaging,3
MS4A1 (931)_damaging,damaging,2
MS4A12 (54860)_damaging,damaging,0
MS4A13 (503497)_damaging,damaging,1
LINC00301 (Unknown)_damaging,damaging,2
MS4A8 (83661)_damaging,damaging,2
MS4A18 (728588)_damaging,damaging,4
MS4A15 (219995)_damaging,damaging,2
MS4A10 (341116)_damaging,damaging,2
CCDC86 (79080)_damaging,damaging,1
ZP1 (22917)_damaging,damaging,5
PRPF19 (27339)_damaging,damaging,2
TMEM109 (79073)_damaging,damaging,1
TMEM132A (54972)_damaging,damaging,5
SLC15A3 (51296)_damaging,damaging,3
CD6 (923)_damaging,damaging,1
CD5 (921)_damaging,damaging,6
VPS37C (55048)_damaging,damaging,3
PGA5 (5222)_damaging,damaging,0
VWCE (220001)_damaging,damaging,4
DDB1 (1642)_damaging,damaging,5
TKFC (26007)_damaging,damaging,7
CYB561A3 (220002)_damaging,damaging,1
TMEM138 (51524)_damaging,damaging,0
CPSF7 (79869)_damaging,damaging,4
SAXO4 (220004)_damaging,damaging,1
SYT7 (9066)_damaging,damaging,5
DAGLA (747)_damaging,damaging,3
MYRF (745)_damaging,damaging,12
TMEM258 (746)_damaging,damaging,3
FEN1 (2237)_damaging,damaging,3
FADS1 (3992)_damaging,damaging,3
FADS2 (9415)_damaging,damaging,7
FADS3 (3995)_damaging,damaging,1
RAB3IL1 (5866)_damaging,damaging,2
BEST1 (7439)_damaging,damaging,4
FTH1 (2495)_damaging,damaging,0
LINC02733 (100507521)_damaging,damaging,0
INCENP (3619)_damaging,damaging,7
SCGB1D1 (10648)_damaging,damaging,1
SCGB1D2 (10647)_damaging,damaging,1
SCGB2A2 (4250)_damaging,damaging,1
SCGB1D4 (404552)_damaging,damaging,1
ASRGL1 (80150)_damaging,damaging,2
AHNAK (79026)_damaging,damaging,18
EEF1G (1937)_damaging,damaging,5
TUT1 (64852)_damaging,damaging,1
MTA2 (9219)_damaging,damaging,9
EML3 (256364)_damaging,damaging,11
ROM1 (6094)_damaging,damaging,2
B3GAT3 (26229)_damaging,damaging,0
GANAB (23193)_damaging,damaging,9
INTS5 (80789)_damaging,damaging,5
C11orf98 (102288414)_damaging,damaging,1
LBHD1 (79081)_damaging,damaging,3
CSKMT (751071)_damaging,damaging,1
UQCC3 (790955)_damaging,damaging,1
UBXN1 (51035)_damaging,damaging,3
LRRN4CL (221091)_damaging,damaging,1
BSCL2 (26580)_damaging,damaging,1
GNG3 (2785)_damaging,damaging,1
HNRNPUL2 (221092)_damaging,damaging,4
TTC9C (283237)_damaging,damaging,2
ZBTB3 (79842)_damaging,damaging,3
POLR2G (5436)_damaging,damaging,4
TAF6L (10629)_damaging,damaging,1
TMEM179B (374395)_damaging,damaging,1
TMEM223 (79064)_damaging,damaging,2
NXF1 (10482)_damaging,damaging,5
STX5 (6811)_damaging,damaging,3
TEX54 (111216277)_damaging,damaging,2
WDR74 (54663)_damaging,damaging,0
SNHG1 (23642)_damaging,damaging,2
SLC3A2 (6520)_damaging,damaging,14
CHRM1 (1128)_damaging,damaging,3
SLC22A6 (9356)_damaging,damaging,3
SLC22A8 (9376)_damaging,damaging,1
SLC22A24 (283238)_damaging,damaging,3
SLC22A25 (387601)_damaging,damaging,3
SLC22A10 (387775)_damaging,damaging,2
SLC22A9 (114571)_damaging,damaging,2
PLAAT5 (117245)_damaging,damaging,1
LGALS12 (85329)_damaging,damaging,3
PLAAT4 (5920)_damaging,damaging,1
PLAAT2 (54979)_damaging,damaging,2
ATL3 (25923)_damaging,damaging,3
RTN3 (10313)_damaging,damaging,4
ZFTA (65998)_damaging,damaging,3
SPINDOC (144097)_damaging,damaging,1
MARK2 (2011)_damaging,damaging,6
RCOR2 (283248)_damaging,damaging,3
COX8A (1351)_damaging,damaging,1
OTUB1 (55611)_damaging,damaging,1
MACROD1 (28992)_damaging,damaging,6
FLRT1 (23769)_damaging,damaging,6
STIP1 (10963)_damaging,damaging,8
FERMT3 (83706)_damaging,damaging,1
TRPT1 (83707)_damaging,damaging,1
NUDT22 (84304)_damaging,damaging,3
DNAJC4 (3338)_damaging,damaging,1
VEGFB (7423)_damaging,damaging,1
FKBP2 (2286)_damaging,damaging,5
PPP1R14B (26472)_damaging,damaging,2
PLCB3 (5331)_damaging,damaging,12
BAD (572)_damaging,damaging,2
GPR137 (56834)_damaging,damaging,1
KCNK4 (50801)_damaging,damaging,2
ESRRA (2101)_damaging,damaging,3
TRMT112 (51504)_damaging,damaging,2
PRDX5 (25824)_damaging,damaging,2
CCDC88B (283234)_damaging,damaging,10
RPS6KA4 (8986)_damaging,damaging,1
SLC22A11 (55867)_damaging,damaging,6
SLC22A12 (116085)_damaging,damaging,5
NRXN2 (9379)_damaging,damaging,14
RASGRP2 (10235)_damaging,damaging,2
PYGM (5837)_damaging,damaging,5
SF1 (7536)_damaging,damaging,8
MAP4K2 (5871)_damaging,damaging,5
MEN1 (4221)_damaging,damaging,11
CDC42BPG (55561)_damaging,damaging,6
EHD1 (10938)_damaging,damaging,4
ATG2A (23130)_damaging,damaging,12
PPP2R5B (5526)_damaging,damaging,4
GPHA2 (170589)_damaging,damaging,2
MAJIN (283129)_damaging,damaging,2
BATF2 (116071)_damaging,damaging,1
ARL2 (402)_damaging,damaging,0
SNX15 (29907)_damaging,damaging,2
SAC3D1 (29901)_damaging,damaging,1
NAALADL1 (10004)_damaging,damaging,4
CDCA5 (113130)_damaging,damaging,5
ZFPL1 (7542)_damaging,damaging,1
TMEM262 (100130348)_damaging,damaging,1
VPS51 (738)_damaging,damaging,7
TM7SF2 (7108)_damaging,damaging,2
ZNHIT2 (741)_damaging,damaging,0
FAU (2197)_damaging,damaging,1
MRPL49 (740)_damaging,damaging,1
SYVN1 (84447)_damaging,damaging,9
SPDYC (387778)_damaging,damaging,4
CAPN1 (823)_damaging,damaging,2
POLA2 (23649)_damaging,damaging,0
DPF2 (5977)_damaging,damaging,3
TIGD3 (220359)_damaging,damaging,1
SLC25A45 (283130)_damaging,damaging,3
FRMD8 (83786)_damaging,damaging,1
SCYL1 (57410)_damaging,damaging,5
LTBP3 (4054)_damaging,damaging,9
ZNRD2 (10534)_damaging,damaging,1
FAM89B (23625)_damaging,damaging,0
EHBP1L1 (254102)_damaging,damaging,9
KCNK7 (10089)_damaging,damaging,1
MAP3K11 (4296)_damaging,damaging,6
PCNX3 (399909)_damaging,damaging,17
SIPA1 (6494)_damaging,damaging,7
RELA (5970)_damaging,damaging,4
KAT5 (10524)_damaging,damaging,2
RNASEH2C (84153)_damaging,damaging,1
AP5B1 (91056)_damaging,damaging,3
OVOL1 (5017)_damaging,damaging,2
SNX32 (254122)_damaging,damaging,2
CFL1 (1072)_damaging,damaging,0
MUS81 (80198)_damaging,damaging,4
EFEMP2 (30008)_damaging,damaging,0
CTSW (1521)_damaging,damaging,5
FIBP (9158)_damaging,damaging,4
CCDC85B (11007)_damaging,damaging,2
FOSL1 (8061)_damaging,damaging,6
C11orf68 (83638)_damaging,damaging,2
DRAP1 (10589)_damaging,damaging,5
TSGA10IP (254187)_damaging,damaging,4
SART1 (9092)_damaging,damaging,5
EIF1AD (84285)_damaging,damaging,4
CST6 (1474)_damaging,damaging,3
CATSPER1 (117144)_damaging,damaging,4
GAL3ST3 (89792)_damaging,damaging,1
SF3B2 (10992)_damaging,damaging,8
PACS1 (55690)_damaging,damaging,7
KLC2 (64837)_damaging,damaging,8
RAB1B (81876)_damaging,damaging,1
YIF1A (10897)_damaging,damaging,9
TMEM151A (256472)_damaging,damaging,3
CD248 (57124)_damaging,damaging,4
RIN1 (9610)_damaging,damaging,14
BRMS1 (25855)_damaging,damaging,8
B4GAT1 (11041)_damaging,damaging,3
SLC29A2 (3177)_damaging,damaging,5
NPAS4 (266743)_damaging,damaging,2
MRPL11 (65003)_damaging,damaging,2
PELI3 (246330)_damaging,damaging,4
DPP3 (10072)_damaging,damaging,5
BBS1 (582)_damaging,damaging,4
ZDHHC24 (254359)_damaging,damaging,4
ACTN3 (89)_damaging,damaging,6
CTSF (8722)_damaging,damaging,3
CCDC87 (55231)_damaging,damaging,9
CCS (9973)_damaging,damaging,5
RBM14 (10432)_damaging,damaging,0
RBM4 (5936)_damaging,damaging,2
RBM4B (83759)_damaging,damaging,1
SPTBN2 (6712)_damaging,damaging,9
TOP6BL (79703)_damaging,damaging,4
RCE1 (9986)_damaging,damaging,1
PC (5091)_damaging,damaging,5
LRFN4 (78999)_damaging,damaging,8
C11orf86 (254439)_damaging,damaging,1
SYT12 (91683)_damaging,damaging,6
RHOD (29984)_damaging,damaging,2
KDM2A (22992)_damaging,damaging,3
GRK2 (156)_damaging,damaging,0
ANKRD13D (338692)_damaging,damaging,6
SSH3 (54961)_damaging,damaging,5
POLD4 (57804)_damaging,damaging,1
CLCF1 (23529)_damaging,damaging,2
RAD9A (5883)_damaging,damaging,4
PPP1CA (5499)_damaging,damaging,4
TBC1D10C (374403)_damaging,damaging,3
CARNS1 (57571)_damaging,damaging,3
RPS6KB2 (6199)_damaging,damaging,0
PTPRCAP (5790)_damaging,damaging,3
CORO1B (57175)_damaging,damaging,7
GPR152 (390212)_damaging,damaging,1
CABP4 (57010)_damaging,damaging,4
TMEM134 (80194)_damaging,damaging,1
AIP (9049)_damaging,damaging,3
PITPNM1 (9600)_damaging,damaging,9
CDK2AP2 (10263)_damaging,damaging,1
CABP2 (51475)_damaging,damaging,4
GSTP1 (2950)_damaging,damaging,1
NDUFV1 (4723)_damaging,damaging,8
NUDT8 (254552)_damaging,damaging,2
TBX10 (347853)_damaging,damaging,4
ACY3 (91703)_damaging,damaging,1
ALDH3B2 (222)_damaging,damaging,4
LINC02754 (105369360)_damaging,damaging,1
UNC93B1 (81622)_damaging,damaging,5
ALDH3B1 (221)_damaging,damaging,4
NDUFS8 (4728)_damaging,damaging,2
TCIRG1 (10312)_damaging,damaging,5
CHKA (1119)_damaging,damaging,3
KMT5B (51111)_damaging,damaging,4
C11orf24 (53838)_damaging,damaging,5
LRP5 (4041)_damaging,damaging,4
PPP6R3 (55291)_damaging,damaging,6
TESMIN (9633)_damaging,damaging,6
CPT1A (1374)_damaging,damaging,3
MRPL21 (219927)_damaging,damaging,1
IGHMBP2 (3508)_damaging,damaging,5
TPCN2 (219931)_damaging,damaging,3
SMIM38 (107984345)_damaging,damaging,2
MYEOV (26579)_damaging,damaging,0
CCND1 (595)_damaging,damaging,0
LTO1 (220064)_damaging,damaging,2
FGF19 (9965)_damaging,damaging,0
FGF4 (2249)_damaging,damaging,1
FGF3 (2248)_damaging,damaging,1
LINC02584 (100009613)_damaging,damaging,0
ANO1 (55107)_damaging,damaging,8
FADD (8772)_damaging,damaging,0
PPFIA1 (8500)_damaging,damaging,2
CTTN (2017)_damaging,damaging,2
SHANK2 (22941)_damaging,damaging,15
ACTE1P (399923)_damaging,damaging,2
DHCR7 (1717)_damaging,damaging,1
NADSYN1 (55191)_damaging,damaging,0
KRTAP5-7 (440050)_damaging,damaging,3
KRTAP5-8 (57830)_damaging,damaging,2
KRTAP5-9 (3846)_damaging,damaging,1
KRTAP5-10 (387273)_damaging,damaging,2
KRTAP5-11 (440051)_damaging,damaging,1
UNC93B6 (255620)_damaging,damaging,0
FAM86C1P (55199)_damaging,damaging,0
ZNF705EP (100131539)_damaging,damaging,0
XNDC1N (100133315)_damaging,damaging,0
RNF121 (55298)_damaging,damaging,5
IL18BP (10068)_damaging,damaging,0
NUMA1 (4926)_damaging,damaging,13
LRRC51 (120356739)_damaging,damaging,0
LAMTOR1 (55004)_damaging,damaging,0
TOMT (120356740)_damaging,damaging,4
FOLR3 (2352)_damaging,damaging,2
FOLR1 (2348)_damaging,damaging,4
FOLR2 (2350)_damaging,damaging,1
INPPL1 (3636)_damaging,damaging,27
PHOX2A (401)_damaging,damaging,1
CLPB (81570)_damaging,damaging,9
ART2P (418)_damaging,damaging,0
PDE2A (5138)_damaging,damaging,8
ARAP1 (116985)_damaging,damaging,7
STARD10 (10809)_damaging,damaging,2
ATG16L2 (89849)_damaging,damaging,7
FCHSD2 (9873)_damaging,damaging,5
P2RY2 (5029)_damaging,damaging,4
P2RY6 (5031)_damaging,damaging,1
ARHGEF17 (9828)_damaging,damaging,14
RELT (84957)_damaging,damaging,2
FAM168A (23201)_damaging,damaging,1
PLEKHB1 (58473)_damaging,damaging,2
RAB6A (5870)_damaging,damaging,4
MRPL48 (51642)_damaging,damaging,1
COA4 (51287)_damaging,damaging,0
PAAF1 (80227)_damaging,damaging,2
DNAJB13 (374407)_damaging,damaging,5
UCP2 (7351)_damaging,damaging,2
UCP3 (7352)_damaging,damaging,1
C2CD3 (26005)_damaging,damaging,16
PPME1 (51400)_damaging,damaging,3
P4HA3 (283208)_damaging,damaging,2
PGM2L1 (283209)_damaging,damaging,5
LIPT2 (387787)_damaging,damaging,0
POLD3 (10714)_damaging,damaging,6
CHRDL2 (25884)_damaging,damaging,2
RNF169 (254225)_damaging,damaging,6
XRRA1 (143570)_damaging,damaging,4
SPCS2 (9789)_damaging,damaging,2
NEU3 (10825)_damaging,damaging,1
SLCO2B1 (11309)_damaging,damaging,4
ARRB1 (408)_damaging,damaging,2
RPS3 (6188)_damaging,damaging,0
KLHL35 (283212)_damaging,damaging,1
GDPD5 (81544)_damaging,damaging,7
SERPINH1 (871)_damaging,damaging,3
MAP6 (4135)_damaging,damaging,3
MOGAT2 (80168)_damaging,damaging,0
DGAT2 (84649)_damaging,damaging,1
UVRAG (7405)_damaging,damaging,5
WNT11 (7481)_damaging,damaging,1
GVQW3 (100506127)_damaging,damaging,1
EMSY (56946)_damaging,damaging,4
LRRC32 (2615)_damaging,damaging,4
GUCY2EP (390226)_damaging,damaging,4
TSKU (25987)_damaging,damaging,0
B3GNT6 (192134)_damaging,damaging,4
CAPN5 (726)_damaging,damaging,3
OMP (4975)_damaging,damaging,2
MYO7A (4647)_damaging,damaging,15
GDPD4 (220032)_damaging,damaging,9
PAK1 (5058)_damaging,damaging,2
AQP11 (282679)_damaging,damaging,1
CLNS1A (1207)_damaging,damaging,2
RSF1 (51773)_damaging,damaging,13
AAMDC (28971)_damaging,damaging,0
INTS4 (92105)_damaging,damaging,4
KCTD14 (65987)_damaging,damaging,1
THRSP (7069)_damaging,damaging,0
NDUFC2 (4718)_damaging,damaging,1
ALG8 (79053)_damaging,damaging,2
KCTD21 (283219)_damaging,damaging,2
USP35 (57558)_damaging,damaging,5
GAB2 (9846)_damaging,damaging,11
NARS2 (79731)_damaging,damaging,4
TENM4 (26011)_damaging,damaging,24
FAM181B (220382)_damaging,damaging,3
PRCP (5547)_damaging,damaging,2
DDIAS (220042)_damaging,damaging,6
RAB30 (27314)_damaging,damaging,1
BCAS2P1 (100127960)_damaging,damaging,0
PCF11 (51585)_damaging,damaging,15
ANKRD42 (338699)_damaging,damaging,4
CCDC90B (60492)_damaging,damaging,1
CCDC90B-AS1 (120883614)_damaging,damaging,2
DLG2 (1740)_damaging,damaging,13
TMEM126B (55863)_damaging,damaging,6
TMEM126A (84233)_damaging,damaging,1
CREBZF (58487)_damaging,damaging,2
CCDC89 (220388)_damaging,damaging,0
SYTL2 (54843)_damaging,damaging,18
CCDC83 (220047)_damaging,damaging,3
PICALM (8301)_damaging,damaging,4
EED (8726)_damaging,damaging,5
CCDC81 (60494)_damaging,damaging,5
ME3 (10873)_damaging,damaging,3
PRSS23 (11098)_damaging,damaging,6
PRSS23-AS1 (107984429)_damaging,damaging,1
TMEM135 (65084)_damaging,damaging,2
RAB38 (23682)_damaging,damaging,3
CTSC (1075)_damaging,damaging,5
GRM5 (2915)_damaging,damaging,10
TYR (7299)_damaging,damaging,4
NOX4 (50507)_damaging,damaging,8
FOLH1B (219595)_damaging,damaging,2
TRIM77 (390231)_damaging,damaging,1
NAALAD2 (10003)_damaging,damaging,9
CHORDC1 (26973)_damaging,damaging,2
DISC1FP1 (101929222)_damaging,damaging,1
LINC02756 (105369428)_damaging,damaging,1
FAT3 (120114)_damaging,damaging,38
MTNR1B (4544)_damaging,damaging,3
SLC36A4 (120103)_damaging,damaging,5
DEUP1 (159989)_damaging,damaging,12
SMCO4 (56935)_damaging,damaging,1
CEP295 (85459)_damaging,damaging,9
TAF1D (79101)_damaging,damaging,3
C11orf54 (28970)_damaging,damaging,4
MED17 (9440)_damaging,damaging,2
VSTM5 (387804)_damaging,damaging,1
HEPHL1 (341208)_damaging,damaging,8
PANX1 (24145)_damaging,damaging,2
IZUMO1R (390243)_damaging,damaging,0
GPR83 (10888)_damaging,damaging,4
MRE11 (4361)_damaging,damaging,11
ANKRD49 (54851)_damaging,damaging,1
FUT4 (2526)_damaging,damaging,8
PIWIL4 (143689)_damaging,damaging,3
LINC02700 (105369436)_damaging,damaging,8
AMOTL1 (154810)_damaging,damaging,9
CWC15 (51503)_damaging,damaging,1
KDM4D (55693)_damaging,damaging,10
KDM4E (390245)_damaging,damaging,1
KDM4F (100129053)_damaging,damaging,0
SRSF8 (10929)_damaging,damaging,3
ENDOD1 (23052)_damaging,damaging,1
LNCRNA-IUR (101929295)_damaging,damaging,1
SESN3 (143686)_damaging,damaging,0
FAM76B (143684)_damaging,damaging,2
CEP57 (9702)_damaging,damaging,4
MTMR2 (8898)_damaging,damaging,4
MAML2 (84441)_damaging,damaging,5
CCDC82 (79780)_damaging,damaging,2
JRKL (8690)_damaging,damaging,7
LINC02737 (105369443)_damaging,damaging,0
LINC02553 (105369449)_damaging,damaging,0
CNTN5 (53942)_damaging,damaging,16
ARHGAP42 (143872)_damaging,damaging,8
PGR (5241)_damaging,damaging,7
