r2,spearman_rho,rmse,mae,n_test,fold,model,target,best_params,n_train,n_features_kept
0.20632804499647295,0.44696021257735996,0.22112640208842582,0.1847310981644073,327,0,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1304,1316
0.2041514332559674,0.43225386110255337,0.21885296979975316,0.18444609715256619,326,1,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1408
0.2528518136827086,0.4950920703531665,0.20627850017934582,0.17342662614526952,326,2,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1468
0.27765646794898513,0.48622805652745565,0.211259711513138,0.17289745203310417,326,3,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1164
0.19266043532886357,0.40495296533610836,0.2269793222659267,0.19358587445457914,326,4,elastic_net_reg,cin,"{'clf__alpha': 0.01, 'clf__l1_ratio': 0.7}",1305,1466
