roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,panel_size,target,model
0.7233753397578453,0.7957371201136803,0.6657400543612553,0.6384976525821596,0.6929824561403509,0.7083333333333334,0.21726130546559377,327,0.6513761467889908,0.505,0,all,wgd,logistic_l1
0.719380611152294,0.793070653495061,0.6648134420558438,0.6103286384976526,0.7192982456140351,0.6933333333333334,0.21841926414346707,327,0.6513761467889908,0.526,0,5,wgd,logistic_l1
0.7306235071246192,0.7949379538747552,0.6562886088460588,0.7511737089201878,0.5614035087719298,0.7565011820330969,0.21348599673613036,327,0.6513761467889908,0.454,0,10,wgd,logistic_l1
0.7265464129808088,0.794243878935971,0.6700024709661477,0.568075117370892,0.7719298245614035,0.6722222222222223,0.21265059533735664,327,0.6513761467889908,0.563,0,20,wgd,logistic_l1
0.70463717980397,0.7841639804477281,0.640721522115147,0.5446009389671361,0.7368421052631579,0.6462395543175488,0.219062344829615,327,0.6513761467889908,0.57,0,30,wgd,logistic_l1
0.7304831941501517,0.8283894340247709,0.673314221612863,0.7183098591549296,0.6283185840707964,0.75,0.21184767300735055,326,0.6533742331288344,0.491,1,all,wgd,logistic_l1
0.6832855540321576,0.7904228944498023,0.6206738958826707,0.6572769953051644,0.584070796460177,0.7,0.2192160849160696,326,0.6533742331288344,0.501,1,5,wgd,logistic_l1
0.6914288088412481,0.7878123956188973,0.6347584029249242,0.6854460093896714,0.584070796460177,0.7192118226600985,0.2168727028449343,326,0.6533742331288344,0.489,1,10,wgd,logistic_l1
0.7004445552370269,0.7938395195623481,0.6377290290415056,0.7887323943661971,0.48672566371681414,0.765375854214123,0.2148896208298289,326,0.6533742331288344,0.44,1,20,wgd,logistic_l1
0.7125763430138352,0.8175871393725791,0.6312268893597573,0.7934272300469484,0.4690265486725664,0.7647058823529411,0.21161631215378976,326,0.6533742331288344,0.428,1,30,wgd,logistic_l1
0.6979932693506171,0.7947785164337535,0.6394532386056754,0.6948356807511737,0.584070796460177,0.7254901960784313,0.2219586098819501,326,0.6533742331288344,0.482,2,all,wgd,logistic_l1
0.6963106070048611,0.7894648269356965,0.6291703020482778,0.568075117370892,0.6902654867256637,0.6558265582655827,0.22391846845744443,326,0.6533742331288344,0.518,2,5,wgd,logistic_l1
0.6892268062653206,0.7821966167712715,0.6454983588848726,0.7511737089201878,0.5398230088495575,0.7529411764705882,0.2222561382392886,326,0.6533742331288344,0.446,2,10,wgd,logistic_l1
0.6860692176658773,0.7851926453623003,0.6543479164069965,0.7511737089201878,0.5575221238938053,0.7565011820330969,0.22301745387206545,326,0.6533742331288344,0.463,2,20,wgd,logistic_l1
0.6721924467156924,0.779829295226012,0.6187834974448461,0.5915492957746479,0.6460176991150443,0.6649076517150396,0.22832242079384976,326,0.6533742331288344,0.545,2,30,wgd,logistic_l1
0.6962898333956542,0.7922828278670433,0.6404503718476048,0.6525821596244131,0.6283185840707964,0.7055837563451777,0.22311819594009366,326,0.6533742331288344,0.504,3,all,wgd,logistic_l1
0.6712784079105903,0.7638455122458603,0.6211309152852216,0.596244131455399,0.6460176991150443,0.6684210526315789,0.22756173136292623,326,0.6533742331288344,0.51,3,5,wgd,logistic_l1
0.6938385475092443,0.7790081731870003,0.6082928247953799,0.7652582159624414,0.45132743362831856,0.7442922374429224,0.2224311105287615,326,0.6533742331288344,0.422,3,10,wgd,logistic_l1
0.6860692176658773,0.7824472854880636,0.6173293448003656,0.6948356807511737,0.5398230088495575,0.7167070217917676,0.2261830966043677,326,0.6533742331288344,0.466,3,20,wgd,logistic_l1
0.6864015954131871,0.7915846059779771,0.6363787444430595,0.7417840375586855,0.5309734513274337,0.7452830188679245,0.22456565087830174,326,0.6533742331288344,0.439,3,30,wgd,logistic_l1
0.7130089374379345,0.7958536850834047,0.658349884144323,0.8254716981132075,0.49122807017543857,0.7865168539325843,0.2176547329571902,326,0.6503067484662577,0.436,4,all,wgd,logistic_l1
0.6519364448857994,0.7565286323871054,0.5993462429659053,0.7688679245283019,0.4298245614035088,0.740909090909091,0.23219564289372863,326,0.6503067484662577,0.451,4,5,wgd,logistic_l1
0.6856173452499172,0.7838470935851193,0.6310410460112545,0.7971698113207547,0.4649122807017544,0.7647058823529411,0.22242019170743813,326,0.6503067484662577,0.428,4,10,wgd,logistic_l1
0.695878848063555,0.7826590926666417,0.6384475339291625,0.8207547169811321,0.45614035087719296,0.7767857142857143,0.21891915531297693,326,0.6503067484662577,0.436,4,20,wgd,logistic_l1
0.7149122807017544,0.7903366340976836,0.6867759020191989,0.6981132075471698,0.6754385964912281,0.7455919395465995,0.21213808151335367,326,0.6503067484662577,0.54,4,30,wgd,logistic_l1
0.6781759688762532,0.6552549832572696,0.6053980248391442,0.5705521472392638,0.6402439024390244,0.5904761904761905,0.22523698139306972,327,0.4984709480122324,0.525,0,all,cin,logistic_l1
0.6646341463414634,0.6358873812432818,0.6299566063145294,0.6257668711656442,0.6341463414634146,0.6276923076923077,0.23120218288596162,327,0.4984709480122324,0.483,0,5,cin,logistic_l1
0.6627263205147389,0.6323075347300007,0.5871614544366303,0.588957055214724,0.5853658536585366,0.5871559633027523,0.2325883918330412,327,0.4984709480122324,0.5,0,10,cin,logistic_l1
0.6606314529402963,0.6512633024811822,0.6086338470746671,0.6319018404907976,0.5853658536585366,0.6167664670658682,0.2345814727709164,327,0.4984709480122324,0.489,0,20,cin,logistic_l1
0.6577510100254377,0.630730647071565,0.599431393086937,0.6134969325153374,0.5853658536585366,0.6042296072507553,0.23541216390647018,327,0.4984709480122324,0.497,0,30,cin,logistic_l1
0.6917460197975084,0.6736184675391987,0.6196319018404908,0.558282208588957,0.6809815950920245,0.5947712418300654,0.22180166421205755,326,0.5,0.518,1,all,cin,logistic_l1
0.6687681132146487,0.6197443185755038,0.6319018404907976,0.6932515337423313,0.5705521472392638,0.653179190751445,0.23218306432864916,326,0.5,0.472,1,5,cin,logistic_l1
0.6921976739809553,0.6681767530522515,0.6165644171779141,0.656441717791411,0.5766871165644172,0.6312684365781711,0.2231157508471055,326,0.5,0.474,1,10,cin,logistic_l1
0.6655877150062102,0.6538587784494494,0.6134969325153374,0.5521472392638037,0.6748466257668712,0.5882352941176471,0.2356584003643569,326,0.5,0.524,1,20,cin,logistic_l1
0.6786856863261697,0.6646507817843077,0.6134969325153374,0.558282208588957,0.6687116564417178,0.5909090909090909,0.23270444761222836,326,0.5,0.52,1,30,cin,logistic_l1
0.7001392600398962,0.6938699125152187,0.6257668711656441,0.5950920245398773,0.656441717791411,0.6139240506329114,0.22014708477928488,326,0.5,0.528,2,all,cin,logistic_l1
