target,model,gene_level_auc,signature_auc,차이
wgd,logistic,0.723,0.7134785891340285,-0.009521410865971469
cin,logistic,0.672,0.710570588651759,0.038570588651759
loh,logistic,0.683,0.6934277992333915,0.010427799233391433
wgd,random_forest,0.765,0.7704774663139183,0.005477466313918322
cin,random_forest,0.734,0.7618339507538501,0.02783395075385009
loh,random_forest,0.73,0.7429227063315419,0.012922706331541911
