target,model_family,clf_roc_auc,reg_spearman_rho,차이
cin,elastic_net,0.681,0.45309743317932866,0.09109743317932856
loh,elastic_net,0.711,0.4308922133943657,0.008892213394365744
cin,random_forest,0.734,0.48758312560210176,0.019583125602101792
loh,random_forest,0.73,0.4506091371461715,-0.009390862853828452
