roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept,held_out_lineage
0.5636363636363636,0.7245532702474936,0.5863636363636364,0.7727272727272727,0.4,0.7555555555555555,0.24080638468500315,32,0.6875,0.468,0,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1546,1936,Biliary Tract
0.5874999999999999,0.7377613322908323,0.6178571428571429,0.95,0.2857142857142857,0.7755102040816326,0.2294146944362343,34,0.5882352941176471,0.441,1,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1544,1913,Bladder/Urinary Tract
0.5558408215661104,0.5627871669139154,0.521181001283697,0.5789473684210527,0.4634146341463415,0.5365853658536586,0.2609677167860158,79,0.4810126582278481,0.451,2,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1499,1917,Bone
0.5854700854700855,0.5965173314490257,0.6371794871794871,0.9743589743589743,0.3,0.7755102040816326,0.2507454645150994,69,0.5652173913043478,0.42,3,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1509,1431,Bowel
0.7159090909090909,0.9016289015994283,0.678030303030303,0.7727272727272727,0.5833333333333334,0.8192771084337349,0.2321663222122799,56,0.7857142857142857,0.436,4,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1522,1889,Breast
0.6698717948717949,0.5482727513377247,0.6680402930402931,0.8717948717948718,0.4642857142857143,0.6601941747572816,0.24352311214791753,95,0.4105263157894737,0.451,5,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1483,1894,CNS/Brain
0.5571428571428572,0.5956971182535092,0.5285714285714286,0.35714285714285715,0.7,0.45454545454545453,0.3033873663792908,24,0.5833333333333334,0.481,6,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1554,1910,Cervix
0.7321428571428571,0.9188864721299193,0.7016129032258065,0.9032258064516129,0.5,0.896,0.17214050291905947,76,0.8157894736842105,0.468,7,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1502,1801,Esophagus/Stomach
0.34705882352941175,0.20722431077694237,0.4411764705882353,0.0,0.8823529411764706,0.0,0.20978843477048523,22,0.22727272727272727,0.483,8,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1556,1950,Eye
0.7327586206896552,0.54,0.7155172413793103,0.5,0.9310344827586207,0.4,0.1408855106412154,31,0.06451612903225806,0.456,9,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1547,1956,Fibroblast
0.5370370370370371,0.702841638654799,0.4979035639412998,0.7735849056603774,0.2222222222222222,0.7130434782608696,0.2455715610661439,80,0.6625,0.454,10,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1498,1867,Head and Neck
0.5714285714285714,0.5104474590122328,0.6412151067323482,0.5238095238095238,0.7586206896551724,0.5641025641025641,0.2541130741388958,50,0.42,0.515,11,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1528,1906,Kidney
0.5735294117647058,0.7702964893336688,0.5661764705882353,0.8823529411764706,0.25,0.7894736842105263,0.22065545948695933,25,0.68,0.427,12,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1553,1926,Liver
0.6088888888888888,0.8975530083499922,0.552280701754386,0.8245614035087719,0.28,0.8545454545454545,0.197395301731447,196,0.8724489795918368,0.469,13,elastic_net,loh,lolo,"{'clf__C': 0.05, 'clf__l1_ratio': 0.7}",1382,1438,Lung
