gene,sd,has_self_expr,r_mean,r_lineage,r_self,r_enet,gain_over_lineage
ACACA (31),0.2905667722225189,True,-0.08391272853029207,0.13587552922270493,-0.047281871991282344,0.16264470668524994,0.026769177462545007
ACLY (47),0.3625854551792145,True,-0.07499025776576296,0.34247807454559376,-0.03426137637814584,0.4315792906933876,0.08910121614779382
ACSL3 (2181),0.3752683997154236,True,-0.07069347269933951,0.19609751944305812,0.1093197664769166,0.4381345679112901,0.24203704846823196
ACSL4 (2182),0.26601076126098633,True,-0.03751596466356273,0.3564726473723222,0.1983480942990869,0.4145164873290477,0.05804383995672552
ACTR5 (79913),0.26575344800949097,True,-0.03382598670003048,0.10554752114438984,0.04473847384014477,0.2419306738212771,0.13638315267688725
ADAR (103),0.38285526633262634,True,-0.04118640716680384,0.17261279318213163,0.011081607483104586,0.3742407976814321,0.20162800449930046
ADAT2 (134637),0.3357029855251312,True,-0.03350904731432845,0.20168621126874275,-0.0034688848338882885,0.31691764889091817,0.11523143762217541
ADNP (23394),0.25262725353240967,True,-0.0628263617758905,0.08825133797112178,-0.03394782418789994,0.13629186183753406,0.04804052386641228
ADRM1 (11047),0.2736987769603729,True,-0.06349878680784436,0.1452463057977802,-0.03353651488070059,0.387445960901982,0.24219965510420183
ADSS2 (159),0.36460965871810913,True,-0.03550568357047858,0.4777509007016881,0.03458933053298616,0.5358427830125837,0.058091882310895626
AHCYL1 (10768),0.35573363304138184,True,-0.029606830046070145,0.29310766929291354,0.0822636989171245,0.4363649590189043,0.14325728972599078
AHR (196),0.290757954120636,True,-0.051942377643661844,0.12473788430369838,0.06108242937602587,0.37790693529536856,0.2531690509916702
AIFM1 (9131),0.38452112674713135,True,-0.03548219773761644,0.17217050485393548,0.015509880494380622,0.4615002173062144,0.2893297124522789
AK2 (204),0.25200894474983215,True,-0.05736051177204627,0.5870754213518565,0.04653332527050902,0.5966380933534442,0.009562672001587669
AKR1B1 (231),0.2565324008464813,True,-0.05196511503278012,0.053367705943850006,-0.06755518231070012,0.20325365211019358,0.14988594616634357
ALG10B (144245),0.2829315960407257,True,-0.10354426979782752,0.09979932829466465,-0.1305887304929312,0.043032267663748264,-0.05676706063091638
ALG12 (79087),0.25654953718185425,True,-0.045887671647739534,0.20883565752757668,0.015810287590425378,0.32649476447010306,0.11765910694252638
AMBRA1 (55626),0.43139195442199707,True,-0.05694539099060675,0.18294794125845162,-0.042098337186021906,0.3237043343137328,0.14075639305528118
ANKRA2 (57763),0.26200512051582336,True,-0.0439608449966038,0.07171373385976712,-0.023810457428603275,0.10252220030989762,0.030808466450130495
ANKRD11 (29123),0.2732616066932678,True,-0.03639225989502413,0.11216413375172238,-0.026676755094750496,0.1854757870097511,0.07331165325802871
ANKRD17 (26057),0.2809332013130188,True,-0.030142515940274086,0.20076014957485067,0.0014232176308712399,0.273514710894871,0.07275456132002034
ANKRD36 (375248),0.2977701723575592,True,-0.08805769118258326,-0.06864894686957948,-0.06890300770483622,0.0022960112277713675,0.07094495809735085
ANKRD49 (54851),0.3299373686313629,True,-0.03449786998127054,0.18989915548313016,0.07156530714766239,0.3556409354332759,0.16574177995014575
APC (324),0.2854566276073456,True,-0.062154974126400434,0.13989474390742393,0.014856658921415036,0.2777696499827081,0.13787490607528416
APEX2 (27301),0.2940048575401306,True,-0.0567789935188699,0.23233927631639303,-0.06964585521261941,0.24560915872171837,0.01326988240532534
ARF1 (375),0.35370129346847534,True,-0.04447164045699394,0.1882475665440352,-0.04851721427382227,0.24830055078908805,0.06005298424505284
ARF6 (382),0.2561913728713989,True,-0.06785031284185572,0.21898663364726728,-0.09874354709525371,0.27055843813926655,0.051571804491999274
ARHGEF7 (8874),0.3639813959598541,True,-0.029184818937800165,0.45406663603544983,0.1608330286118703,0.5637301061427348,0.10966347010728494
ARID1A (8289),0.3157173991203308,True,-0.06675858603530276,0.24212882900736737,0.059595034451489524,0.27368116615886046,0.03155233715149308
ARID2 (196528),0.2843534052371979,True,-0.04759898333916524,0.2726080977581934,0.0683700606195173,0.3112371810657214,0.03862908330752801
ARMC5 (79798),0.3097935914993286,True,-0.08115801338766186,0.18243824596817282,0.0024356978491951653,0.3001614918829372,0.11772324591476441
