roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,representation,n_features,best_params
0.715962441314554,0.7757402402354137,0.6645045712873734,0.6009389671361502,0.7280701754385965,0.6881720430107527,0.2132331228202493,327,0.6513761467889908,0.557,0,logistic,wgd,signature,96,{'clf__C': 0.01}
0.7407453570983422,0.8328262772381112,0.6818106277784702,0.6291079812206573,0.7345132743362832,0.7108753315649867,0.20288910664260204,326,0.6533742331288344,0.558,1,logistic,wgd,signature,96,{'clf__C': 0.01}
0.6856121982633263,0.7938135402827807,0.6293364909219328,0.7276995305164319,0.5309734513274337,0.7363420427553444,0.22052973163257603,326,0.6533742331288344,0.467,2,logistic,wgd,signature,96,{'clf__C': 0.01}
0.6986164776268229,0.8054543801663406,0.6415305995263617,0.6901408450704225,0.5929203539823009,0.7241379310344828,0.2181436513255369,326,0.6533742331288344,0.489,3,logistic,wgd,signature,96,{'clf__C': 0.01}
0.726456471367097,0.7997627668366715,0.658349884144323,0.8254716981132075,0.49122807017543857,0.7865168539325843,0.20691165740798445,326,0.6503067484662577,0.445,4,logistic,wgd,signature,96,{'clf__C': 0.01}
0.6930270836450697,0.651753756323528,0.6392525811761185,0.6748466257668712,0.6036585365853658,0.650887573964497,0.2225089577014513,327,0.4984709480122324,0.495,0,logistic,cin,signature,96,{'clf__C': 0.01}
0.7035266664157477,0.6811049895482095,0.6380368098159509,0.6134969325153374,0.6625766871165644,0.6289308176100629,0.21989651350915543,326,0.5,0.509,1,logistic,cin,signature,96,{'clf__C': 0.01}
0.7023598931085099,0.6954122486819677,0.6411042944785276,0.6380368098159509,0.6441717791411042,0.64,0.21895731489770354,326,0.5,0.527,2,logistic,cin,signature,96,{'clf__C': 0.01}
0.740675223004253,0.7098382100919624,0.6932515337423313,0.7975460122699386,0.588957055214724,0.7222222222222222,0.20626857854541655,326,0.5,0.467,3,logistic,cin,signature,96,{'clf__C': 0.01}
0.7132640770852153,0.6739765874454923,0.670995182174044,0.7987804878048781,0.5432098765432098,0.7100271002710027,0.2141591030272373,326,0.5030674846625767,0.458,4,logistic,cin,signature,96,{'clf__C': 0.01}
0.7318195421218016,0.7314135998018308,0.6578071225497532,0.7607361963190185,0.5548780487804879,0.6888888888888889,0.20868989031328294,327,0.4984709480122324,0.449,0,logistic,loh,signature,96,{'clf__C': 0.01}
0.6572697504610636,0.6383958993377281,0.6165644171779141,0.7484662576687117,0.48466257668711654,0.6612466124661247,0.2345380883199227,326,0.5,0.429,1,logistic,loh,signature,96,{'clf__C': 0.01}
0.7283676465053258,0.7174904797814443,0.6349693251533742,0.6871165644171779,0.5828220858895705,0.6530612244897959,0.21013593746582357,326,0.5,0.475,2,logistic,loh,signature,96,{'clf__C': 0.01}
0.7025745257452574,0.7201339750733644,0.6160418548629931,0.7012195121951219,0.5308641975308642,0.647887323943662,0.21654329751264814,326,0.5030674846625767,0.455,3,logistic,loh,signature,96,{'clf__C': 0.01}
0.6471075313335091,0.5957617685809853,0.6042944785276074,0.656441717791411,0.5521472392638037,0.6239067055393586,0.2411294737959371,326,0.5,0.491,4,logistic,loh,signature,96,{'clf__C': 0.01}
0.7895560497487851,0.8778441912100241,0.7024339016555473,0.5539906103286385,0.8508771929824561,0.6781609195402298,0.18374235219942542,327,0.6513761467889908,0.646,0,random_forest,wgd,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.7793427230046949,0.8572988356985742,0.7265985292284682,0.647887323943662,0.8053097345132744,0.739946380697051,0.18580685912615416,326,0.6533742331288344,0.6,1,random_forest,wgd,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
0.7744816984502888,0.8675254286010083,0.7323735925879762,0.6948356807511737,0.7699115044247787,0.7648578811369509,0.18609550920245396,326,0.6533742331288344,0.662,2,random_forest,wgd,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7745232456687025,0.864741702534862,0.6866924259420832,0.568075117370892,0.8053097345132744,0.6797752808988764,0.18786527214530124,326,0.6533742331288344,0.613,3,random_forest,wgd,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.7344836146971202,0.8182843036133074,0.6523502151605429,0.7169811320754716,0.5877192982456141,0.7396593673965937,0.19524620772796547,326,0.6503067484662577,0.565,4,random_forest,wgd,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.751084842136765,0.733830425438079,0.6942802633547809,0.7239263803680982,0.6646341463414634,0.7023809523809523,0.20618807339449544,327,0.4984709480122324,0.466,0,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7611878505024652,0.7442398750072498,0.6687116564417178,0.6319018404907976,0.7055214723926381,0.6560509554140127,0.20091971368826178,326,0.5,0.501,1,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7562761112574804,0.749190841340044,0.7085889570552147,0.6871165644171779,0.7300613496932515,0.7021943573667712,0.2056162944785276,326,0.5,0.498,2,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7826037863675712,0.7657245502899037,0.7024539877300613,0.754601226993865,0.6503067484662577,0.717201166180758,0.19823942019746862,326,0.5,0.477,3,random_forest,cin,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7580171635049684,0.756598039501356,0.6991493526046372,0.7378048780487805,0.6604938271604939,0.711764705882353,0.20396784507859142,326,0.5030674846625767,0.502,4,random_forest,cin,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
0.7588657788418375,0.7702021115617763,0.6820290288792459,0.7055214723926381,0.6585365853658537,0.688622754491018,0.20386424907656908,327,0.4984709480122324,0.471,0,random_forest,loh,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}"
0.7245285859460273,0.7540781212325411,0.6625766871165644,0.6809815950920245,0.6441717791411042,0.6686746987951807,0.21015249573577063,326,0.5,0.479,1,random_forest,loh,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5}"
0.7526440588655954,0.7235219505004251,0.6871165644171779,0.7300613496932515,0.6441717791411042,0.7,0.2084800490797546,326,0.5,0.474,2,random_forest,loh,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
0.7620445648900933,0.7659109494587866,0.7025368864799759,0.6890243902439024,0.7160493827160493,0.6996904024767802,0.20411522657403355,326,0.5030674846625767,0.492,3,random_forest,loh,signature,96,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}"
0.7165305431141556,0.6904408042300416,0.656441717791411,0.6809815950920245,0.6319018404907976,0.6646706586826348,0.2186513496932515,326,0.5,0.484,4,random_forest,loh,signature,96,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1}"
