r2,spearman_rho,rmse,mae,n_test,fold,panel_size,target,model,n_features
0.20632804499647295,0.44696021257735996,0.22112640208842582,0.1847310981644073,327,0,all,cin,elastic_net_reg,1316
0.1875717461435238,0.40446024580781625,0.22372400829454406,0.18941310281675067,327,0,5,cin,elastic_net_reg,5
0.19000534760239807,0.40933414692638936,0.22338867812452692,0.18790113196232242,327,0,10,cin,elastic_net_reg,10
0.17889532291453347,0.4087840325445567,0.22491547907858267,0.18812357932480572,327,0,20,cin,elastic_net_reg,20
0.19195582523381827,0.43781115331118087,0.22311955459611402,0.1856589779294041,327,0,50,cin,elastic_net_reg,50
0.2041514332559674,0.43225386110255337,0.21885296979975316,0.18444609715256619,326,1,all,cin,elastic_net_reg,1408
0.216373967279608,0.41551452425468915,0.21716591026031207,0.18174812362186396,326,1,5,cin,elastic_net_reg,5
0.21515739919130816,0.43619261296588535,0.2173344183523293,0.18318887147124985,326,1,10,cin,elastic_net_reg,10
0.2008246719331187,0.4059700546272214,0.21930991120221477,0.18371640541266132,326,1,20,cin,elastic_net_reg,20
0.17675728614911634,0.40892509615896055,0.22258770561178584,0.18576709249126372,326,1,50,cin,elastic_net_reg,50
0.2528518136827086,0.4950920703531665,0.20627850017934582,0.17342662614526952,326,2,all,cin,elastic_net_reg,1468
0.23632175804683686,0.4654697278082637,0.2085478900990902,0.17617423133200172,326,2,5,cin,elastic_net_reg,5
0.25574074013205683,0.4938020376511633,0.20587931525698172,0.1729859529575078,326,2,10,cin,elastic_net_reg,10
0.2146085676957411,0.43868330383077075,0.21149186717810575,0.17632238064928077,326,2,20,cin,elastic_net_reg,20
0.215907765670995,0.45628446746049195,0.2113168693873529,0.1760307274397186,326,2,50,cin,elastic_net_reg,50
0.27765646794898513,0.48622805652745565,0.211259711513138,0.17289745203310417,326,3,all,cin,elastic_net_reg,1164
0.2302842797541308,0.4505019219073618,0.21807705136891392,0.1817067466330653,326,3,5,cin,elastic_net_reg,5
0.25155252921425053,0.4666271287837814,0.215043069631845,0.17831663621940605,326,3,10,cin,elastic_net_reg,10
0.24914578215102312,0.4659874182833223,0.21538854402746005,0.17788606501744048,326,3,20,cin,elastic_net_reg,20
0.21663307869241,0.44136026276964013,0.22000239195136673,0.1797490703311728,326,3,50,cin,elastic_net_reg,50
0.19266043532886357,0.40495296533610836,0.2269793222659267,0.19358587445457914,326,4,all,cin,elastic_net_reg,1466
0.13384362772133396,0.3447083475054214,0.2351020030336586,0.20118269626250493,326,4,5,cin,elastic_net_reg,5
0.11999121623101461,0.33661137794347695,0.23697453534583426,0.20202323994739577,326,4,10,cin,elastic_net_reg,10
0.14201986822734647,0.3632498576576288,0.2339897278843565,0.199862771294908,326,4,20,cin,elastic_net_reg,20
0.17752415207434546,0.4104103280730789,0.22909718543395438,0.19586604519626313,326,4,50,cin,elastic_net_reg,50
0.30583651637186704,0.517405566970192,0.20680020473690217,0.17244021705644566,327,0,all,cin,random_forest_reg,1316
0.19709108646709816,0.4042413203693125,0.22240944279415925,0.1858745949171577,327,0,5,cin,random_forest_reg,5
0.2063503146375253,0.43215078518259437,0.22112329977385203,0.18267170901636437,327,0,10,cin,random_forest_reg,10
0.250970172333429,0.4825512527528063,0.21481749038716277,0.177416345471035,327,0,20,cin,random_forest_reg,20
0.22231456205534583,0.4689431243889316,0.21888805684796592,0.17864073954704582,327,0,50,cin,random_forest_reg,50
0.2731932096594505,0.46042577895301356,0.2091446275983001,0.17314911361020513,326,1,all,cin,random_forest_reg,1408
0.20985274309227242,0.41026667452753024,0.21806764999067,0.17869110078565148,326,1,5,cin,random_forest_reg,5
0.17688807083925706,0.35777351453295314,0.222570024179631,0.18261744085796916,326,1,10,cin,random_forest_reg,10
0.23080953273081772,0.3956341576453734,0.21515635177340656,0.17722529869979425,326,1,20,cin,random_forest_reg,20
0.2643711378595286,0.4371633284975886,0.21041011086741615,0.1748212834934258,326,1,50,cin,random_forest_reg,50
0.2828140684101844,0.5178382765123664,0.20210007406696537,0.16719304351745298,326,2,all,cin,random_forest_reg,1468
0.21593139804196104,0.406789843723579,0.21131368484090568,0.17666163721584177,326,2,5,cin,random_forest_reg,5
0.24554165605848488,0.4800227947271337,0.20728516652061996,0.1712120116134803,326,2,10,cin,random_forest_reg,10
0.2776602216649334,0.4952609807707365,0.20282494064712053,0.16593461813691285,326,2,20,cin,random_forest_reg,20
0.26018545826220585,0.5258736998126596,0.20526363878664797,0.16812782964521042,326,2,50,cin,random_forest_reg,50
0.2743825329014853,0.5051936384023513,0.21173792486196458,0.17150690897673337,326,3,all,cin,random_forest_reg,1164
0.23679624439996882,0.4255171193105623,0.21715260199407127,0.17961825406749643,326,3,5,cin,random_forest_reg,5
0.2491299835627241,0.43530454115154854,0.21539080999131238,0.17702606503580445,326,3,10,cin,random_forest_reg,10
0.2417144633260443,0.44594395061722997,0.21645178638825216,0.1755688646829398,326,3,20,cin,random_forest_reg,20
0.25239928925821886,0.4555200716487484,0.2149213901436714,0.17427912842838722,326,3,50,cin,random_forest_reg,50
0.19906624497999437,0.4370523671725859,0.22607704889300387,0.19168018662509353,326,4,all,cin,random_forest_reg,1466
0.13009271981125048,0.3322213293648398,0.23561051012295078,0.19910192414728137,326,4,5,cin,random_forest_reg,5
0.11282959204252674,0.32588070138530406,0.2379368460205919,0.20032271407887595,326,4,10,cin,random_forest_reg,10
0.16578241845006925,0.3766813068786574,0.23072669552682434,0.1935202604379082,326,4,20,cin,random_forest_reg,20
0.1883799287181941,0.4289721607389189,0.22758024788577882,0.19140619978293344,326,4,50,cin,random_forest_reg,50
