roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept
0.7409471794104444,0.6878736358194177,0.6850778093670508,0.7055214723926381,0.6646341463414634,0.6906906906906907,0.20934822728114597,327,0.4984709480122324,0.498,0,catboost,cin,random,"{'clf__depth': 6, 'clf__l2_leaf_reg': 10.0}",1304,1395
0.7088524219955588,0.6483110910699803,0.6533742331288344,0.7239263803680982,0.5828220858895705,0.6762177650429799,0.2180776290289846,326,0.5,0.501,1,catboost,cin,random,"{'clf__depth': 6, 'clf__l2_leaf_reg': 10.0}",1305,1380
0.711242425382965,0.6933504955992886,0.6503067484662577,0.7177914110429447,0.5828220858895705,0.6724137931034483,0.21661877650505074,326,0.5,0.481,2,catboost,cin,random,"{'clf__depth': 6, 'clf__l2_leaf_reg': 10.0}",1305,1469
0.6862697128232151,0.6619585173236073,0.6411042944785277,0.7791411042944786,0.5030674846625767,0.6846361185983828,0.225257803370679,326,0.5,0.457,3,catboost,cin,random,"{'clf__depth': 6, 'clf__l2_leaf_reg': 10.0}",1305,1220
0.7098200843119544,0.6845870236202262,0.6500677506775068,0.6890243902439024,0.6111111111111112,0.6647058823529411,0.21773246895637058,326,0.5030674846625767,0.495,4,catboost,cin,random,"{'clf__depth': 3, 'clf__l2_leaf_reg': 10.0}",1305,1345
