roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity,f1,brier,n_test,positive_rate,threshold,fold,model,target,scheme,best_params,n_train,n_features_kept
0.6335931037485307,0.41060119405567286,0.6402760242065393,0.6213592233009708,0.6591928251121076,0.5267489711934157,0.23002362809039947,326,0.3159509202453988,0.499,0,random_forest,wgd,group,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1305,1352
0.7032038895468429,0.8994356345841197,0.6500031166240727,0.7262357414448669,0.5737704918032787,0.7958333333333333,0.21954451141210868,324,0.8117283950617284,0.515,1,random_forest,wgd,group,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1307,985
0.6650322466648997,0.8058439517462456,0.6141001855287569,0.6363636363636364,0.5918367346938775,0.7033492822966507,0.21914941329917914,329,0.7021276595744681,0.531,2,random_forest,wgd,group,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5}",1302,1512
0.7551185344827587,0.8830204947997145,0.7108477011494253,0.7758620689655172,0.6458333333333334,0.8071748878923767,0.22361069796970165,328,0.7073170731707317,0.491,3,random_forest,wgd,group,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1303,1671
0.7453502271097299,0.8818569016988641,0.6737508964857757,0.774468085106383,0.5730337078651685,0.8,0.2221186038831298,324,0.7253086419753086,0.489,4,random_forest,wgd,group,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1}",1307,1346
