target,model,gene_level_auc,pathway_auc,차이
wgd,logistic,0.723,0.6737753723574901,-0.0492246276425099
cin,logistic,0.672,0.6431505039986729,-0.028849496001327135
loh,logistic,0.683,0.6478363981603399,-0.035163601839660164
wgd,random_forest,0.765,0.720302333992354,-0.04469766600764602
cin,random_forest,0.734,0.6910521511549147,-0.04294784884508529
loh,random_forest,0.73,0.7019228624079141,-0.028077137592085855
