target,tn,fp,fn,tp,n,sensitivity,specificity,balanced_accuracy
wgd,384,183,264,800,1631,0.7518796992481203,0.6772486772486772,0.7145641882483987
cin,538,277,248,568,1631,0.696078431372549,0.660122699386503,0.678100565379526
loh,494,321,207,609,1631,0.7463235294117647,0.6061349693251534,0.6762292493684591
