target,tn,fp,fn,tp,n,sensitivity,specificity,balanced_accuracy
wgd,372,195,269,795,1631,0.7471804511278195,0.656084656084656,0.7016325536062378
cin,425,390,168,648,1631,0.7941176470588235,0.5214723926380368,0.6577950198484301
loh,443,372,204,612,1631,0.75,0.5435582822085889,0.6467791411042945
