model,target,결합,유전자만,signature만,결합-유전자,결합-signature
logistic_l1,wgd,0.7908290329349242,0.723,0.713,0.06782903293492426,0.07782903293492427
logistic_l1,cin,0.74619527845259,0.672,0.711,0.07419527845259,0.03519527845259007
logistic_l1,loh,0.7552082189025435,0.683,0.693,0.07220821890254348,0.06220821890254358
random_forest,wgd,0.7969368766550552,0.765,0.77,0.03193687665505518,0.026936876655055175
random_forest,cin,0.7750946530693054,0.734,0.762,0.041094653069305376,0.013094653069305351
random_forest,loh,0.7650731012926533,0.73,0.743,0.035073101292653286,0.022073101292653274
